Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Tree
2788,16,30,8,4126,5396,Other
2562,12,67,9,1057,5031,Other
3073,12,108,-3,6836,2735,Other
2978,10,426,85,5742,3792,Other
2860,10,295,98,3644,5904,Spruce
3067,11,85,7,6811,2774,Other
2804,5,543,61,3115,6471,Other
2562,3,0,0,1116,5091,Other
2567,9,190,16,1136,4924,Other
2998,8,351,16,5842,3721,Other
2684,12,150,2,1677,5693,Other
2676,11,150,-5,1634,5655,Other
2863,15,190,71,4389,5184,Spruce
2574,5,170,23,1180,4910,Other
2511,6,162,30,1071,4660,Other
3067,4,30,-2,6679,2947,Other
2909,16,134,23,5502,4084,Other
2863,14,309,89,3918,5695,Spruce
2567,1,0,0,1266,5079,Other
3182,11,408,33,6000,1184,Spruce
2818,12,242,26,4156,5467,Spruce
2752,6,342,24,2372,6131,Other
2751,5,400,30,2322,6088,Other
2569,7,228,18,1266,4844,Other
3195,15,469,46,5941,1206,Spruce
2982,14,240,63,5756,3880,Other
2850,6,295,58,4394,5239,Spruce
2586,4,190,30,1290,4875,Other
2837,13,330,45,4241,5428,Spruce
2723,6,301,34,2109,5793,Other
3070,11,30,-6,6890,2858,Other
3057,12,150,53,6508,3211,Other
2818,19,30,10,5213,4497,Other
2847,33,85,39,4983,4727,Other
2606,11,30,4,1584,5106,Other
2893,6,551,101,4011,5755,Other
2716,10,234,27,2100,5581,Other
2644,20,67,25,1719,5168,Other
2613,5,216,34,1519,4818,Other
2929,12,0,0,5757,4017,Other
2767,12,30,8,2796,6192,Other
2991,13,85,0,6199,3613,Spruce
2939,18,95,20,5563,4224,Other
2537,12,0,0,1583,4509,Other
3119,7,162,10,6660,2556,Other
2942,12,30,3,5918,3900,Spruce
2886,7,570,94,4295,5518,Spruce
2775,13,42,7,2854,6177,Other
2490,9,240,13,878,4184,Other
3106,18,658,108,5984,1655,Spruce
2831,24,60,23,5208,4611,Other
2837,8,272,16,3649,6221,Other
2890,23,180,79,5104,4734,Other
2824,5,218,6,3583,6316,Other
2728,3,242,32,2250,5515,Other
2962,16,190,23,6095,3811,Spruce
3142,11,424,69,6216,1989,Other
2847,6,175,10,3757,6194,Other
2536,5,242,16,1242,4201,Other
3168,6,30,0,4884,1239,Spruce
2926,24,210,99,5126,4814,Spruce
2893,6,295,36,4106,5865,Other
2687,11,150,39,1986,4936,Other
3109,17,424,55,6089,2017,Other
3119,20,60,0,6297,2377,Other
2916,10,488,36,4472,5502,Spruce
2795,3,218,17,3042,6073,Other
2555,14,285,19,1231,4159,Other
2499,13,497,-7,953,3950,Other
3027,11,335,42,5678,1900,Spruce
3096,15,85,16,6156,2310,Spruce
2916,13,268,89,5618,4417,Other
2591,12,350,22,1398,4224,Other
3185,16,127,13,4763,1392,Spruce
3021,10,324,39,5675,1937,Spruce
3083,4,510,-25,6363,2873,Other
2860,33,60,33,5292,4759,Other
3008,15,228,20,5535,1924,Other
3034,14,384,66,5754,2012,Spruce
2873,16,67,16,4030,6091,Other
3182,13,319,7,4767,1513,Spruce
2998,12,384,158,6026,4121,Other
2658,20,300,54,1597,4286,Other
3175,7,366,92,4816,1584,Spruce
2952,7,488,125,4953,5192,Spruce
2622,12,484,39,1329,4086,Other
2955,21,247,128,5224,4968,Other
2837,9,201,23,3655,6341,Other
3182,3,458,109,4723,1661,Spruce
3077,3,618,43,6296,3261,Other
2755,4,30,-1,2890,5468,Other
3047,11,600,13,6414,3540,Spruce
2880,12,30,3,4369,5906,Other
3221,3,424,49,4401,1710,Spruce
3182,10,553,10,4605,1768,Spruce
3064,24,150,46,5051,2148,Spruce
2827,15,42,9,3599,6067,Other
2518,5,360,39,553,3522,Other
3050,4,277,-3,5782,2721,Spruce
3107,12,283,89,4855,2069,Spruce
2995,15,268,135,6312,4135,Other
2721,4,67,-2,1747,4191,Other
3182,7,579,10,4425,1854,Spruce
2724,11,60,-2,2720,4875,Other
2515,9,313,39,511,3451,Other
3017,22,212,52,5118,2352,Spruce
3077,4,618,210,6230,3734,Other
2929,8,190,39,4393,6106,Other
2735,12,67,6,2806,4924,Other
2893,20,150,43,5825,4667,Other
3231,4,648,59,4173,1921,Spruce
2560,10,218,34,731,3505,Other
3162,15,484,144,4657,2188,Spruce
2982,14,120,-2,5501,2750,Spruce
2731,5,0,0,2826,4873,Other
3172,11,759,0,4287,2037,Spruce
2916,21,127,49,6349,4206,Other
2890,17,153,35,3670,5757,Other
2704,10,323,22,1323,3734,Other
3198,18,604,180,4545,2285,Spruce
2985,5,342,63,5495,3195,Other
3011,21,443,161,5838,4910,Other
3024,18,474,177,5785,4961,Other
2763,12,85,17,2850,4788,Other
3244,16,618,76,3865,2225,Spruce
2955,10,85,10,5167,2819,Spruce
3201,13,984,180,4136,2289,Spruce
2972,25,30,0,5113,2816,Spruce
2985,13,458,66,5571,3519,Other
2539,17,90,15,488,3115,Other
3001,8,720,134,5790,3903,Other
2952,10,150,16,5123,2960,Spruce
2962,13,255,43,5365,3337,Other
3004,12,484,85,5068,5840,Spruce
2727,4,124,21,2285,4245,Other
3004,17,603,137,5798,4031,Other
2886,8,285,31,3849,5557,Other
3024,8,600,105,5201,5764,Spruce
3034,14,335,148,6084,4921,Other
2903,13,190,26,4179,5904,Other
2926,4,30,7,5180,3331,Spruce
2942,16,180,23,5276,3470,Other
2991,13,495,65,4849,6214,Other
2742,9,150,21,2475,4314,Other
2606,18,67,26,911,3174,Other
3244,5,750,53,3730,2460,Spruce
3237,14,997,36,4002,2506,Spruce
2616,24,42,15,977,3186,Other
2913,11,457,58,3974,5568,Other
2813,7,201,35,3018,4729,Other
2530,1,319,51,234,2726,Other
3260,7,503,69,3558,2531,Spruce
3047,3,870,128,5484,5635,Other
2955,20,201,33,4934,3248,Spruce
2893,13,85,7,6012,4682,Other
2965,24,247,49,4883,3315,Spruce
3037,15,570,151,5985,5238,Other
3027,10,792,108,5316,5912,Other
2756,16,120,35,2501,4210,Other
2939,6,510,62,4078,5584,Other
3198,9,418,23,4200,2858,Spruce
3195,7,362,20,4243,2880,Spruce
2975,6,360,89,5719,4519,Other
2890,13,30,4,5918,4761,Other
3018,10,815,132,5833,5486,Other
3011,5,842,85,5389,5975,Other
3221,16,618,20,3968,2868,Spruce
3004,7,811,78,5383,6017,Other
2572,20,384,53,391,2509,Other
3260,11,743,46,3824,2854,Spruce
3168,4,30,0,4426,3180,Spruce
2878,12,67,0,3489,4924,Other
3198,8,301,23,4099,3076,Spruce
2975,8,391,66,6071,5262,Other
3178,10,0,0,4286,3248,Spruce
2995,10,690,86,6068,5533,Other
2913,8,210,20,5478,4733,Other
2982,9,424,56,5267,6500,Spruce
2945,12,362,36,5877,5354,Other
2995,2,631,23,5459,6349,Spruce
2942,3,0,0,4830,6062,Other
2945,5,0,0,4801,6034,Other
2959,8,120,14,4683,5920,Other
2796,13,60,8,2599,3934,Other
2785,2,60,-2,2486,3829,Other
2784,17,153,33,1798,3198,Other
2789,15,182,50,1771,3174,Other
2922,19,240,22,5076,4536,Other
3008,3,931,36,5727,6096,Other
2978,10,323,49,5160,6368,Other
2892,11,134,12,3178,4457,Other
2521,10,42,2,408,2066,Other
2985,7,497,13,5372,6482,Spruce
3057,19,626,144,4435,3955,Spruce
2829,9,60,8,2941,4187,Other
3201,5,0,0,4002,3460,Spruce
3136,13,789,-13,4228,3798,Spruce
2548,14,60,7,551,2058,Other
2962,9,42,3,4891,6046,Other
2808,13,201,20,2431,3651,Other
2749,12,516,43,1499,2797,Other
3155,14,849,-19,4184,3871,Spruce
2991,11,849,98,5939,6068,Other
2968,5,306,49,4113,5265,Other
2932,13,108,21,3911,5067,Other
2808,7,153,3,2592,3757,Other
2794,4,210,37,1888,3079,Spruce
3080,17,659,167,4377,4176,Spruce
2936,16,180,27,4656,4456,Spruce
2913,10,313,10,5706,5517,Other
2919,8,323,19,5728,5539,Other
2978,6,85,13,4795,5905,Other
2574,14,134,32,636,1924,Other
3142,21,730,-32,4155,4070,Spruce
2804,10,212,47,1917,3031,Spruce
2595,14,42,19,799,2010,Other
2929,8,366,33,5835,5776,Other
3001,9,764,101,5961,6227,Other
2813,7,371,56,1800,2872,Other
2988,6,192,26,4805,5836,Other
3175,18,612,0,4042,4184,Spruce
2861,6,134,10,2980,3972,Other
2804,7,362,10,1838,2825,Other
3001,10,335,29,5320,6310,Spruce
2914,9,277,18,3471,4430,Other
2668,17,283,68,1276,2240,Other
3185,12,481,10,3899,4273,Spruce
2913,9,268,20,5715,5983,Spruce
3168,5,418,-6,3855,4394,Spruce
2955,9,30,3,4478,5370,Other
2932,7,30,-6,4280,5166,Other
3234,11,658,26,3589,4109,Spruce
3201,7,488,26,3667,4255,Spruce
2903,5,212,10,5656,6046,Spruce
2874,2,400,19,2869,3653,Other
2903,6,212,3,5689,6195,Spruce
2800,12,0,0,2244,2958,Spruce
3257,9,693,52,3443,4246,Spruce
3188,5,210,13,3634,4526,Spruce
2952,8,192,30,4487,5251,Other
2932,16,342,36,5797,6409,Spruce
3050,4,630,85,5540,6162,Other
2955,11,212,19,4302,5057,Other
2791,17,458,-18,1740,2294,Other
3172,3,180,7,3632,4624,Spruce
3116,14,297,-6,3870,4802,Spruce
2895,10,162,0,3326,4002,Other
3182,6,134,7,3510,4585,Spruce
3024,9,218,49,4152,5114,Other
2962,9,480,66,5863,6356,Other
2978,4,192,13,4780,5502,Other
2952,12,323,0,4558,5268,Other
2945,13,255,32,3768,4425,Other
3149,7,134,17,3718,4831,Spruce
2833,15,242,23,1953,2407,Spruce
3136,10,42,4,3623,4858,Spruce
2851,13,268,46,2538,3037,Other
2933,8,300,20,3644,4221,Other
2810,6,421,0,1871,2178,Spruce
3267,10,484,62,3194,4518,Spruce
3188,16,85,13,3340,4753,Spruce
2955,5,426,42,3905,4475,Other
3001,9,752,103,5893,6012,Other
3008,10,780,110,5864,5998,Other
2942,5,391,29,3707,4228,Other
2921,9,395,8,3516,4024,Other
2985,5,361,20,5023,5570,Other
2978,14,570,42,4480,5007,Other
2889,20,362,66,2689,3049,Other
2814,3,210,4,2145,2316,Other
2938,9,408,107,2896,3239,Other
2828,11,127,15,2467,2714,Other
3146,12,240,-28,3287,5052,Spruce
2977,8,466,12,4283,4676,Other
3034,2,680,46,5544,5490,Other
3083,19,192,-9,3320,5380,Spruce
3044,5,210,-25,3481,5476,Spruce
2982,8,242,-35,3695,5609,Spruce
2901,15,256,49,3181,3360,Other
2995,6,247,13,4770,5126,Other
2528,6,108,4,598,390,Other
3188,8,60,3,2880,5166,Spruce
2939,24,400,41,5619,5753,Other
3008,11,696,112,5880,5600,Other
3021,9,815,125,5855,5543,Other
2937,11,330,15,4094,4354,Other
2844,10,67,20,2758,2724,Other
2781,3,351,25,2148,1707,Other
2945,18,421,47,5615,5686,Other
2857,12,85,8,3111,3161,Other
3021,7,258,-12,3544,5720,Spruce
2919,3,192,3,3992,6047,Spruce
2800,9,170,22,2382,2001,Other
2773,18,350,119,1680,983,Other
2759,17,300,105,1590,895,Other
2714,20,242,93,1470,779,Other
2671,26,175,55,1350,664,Other
2975,9,120,3,4763,4928,Other
2775,19,335,101,1770,1061,Other
2746,18,268,92,1620,912,Other
2743,19,255,89,1590,883,Other
2717,16,201,79,1500,794,Other
2751,14,277,77,1680,967,Other
2739,14,242,75,1620,908,Other
2733,16,228,79,1590,878,Other
2716,15,175,62,1500,789,Other
2611,14,30,2,1200,495,Other
3073,11,0,0,3060,5654,Spruce
3060,18,95,16,3251,5755,Other
2899,8,162,19,3944,4034,Other
2861,8,30,0,3434,3406,Other
2853,3,0,0,3342,3287,Other
2785,8,134,18,2429,1860,Other
2723,16,190,69,1560,845,Other
2656,23,85,35,1350,636,Other
3064,10,30,4,3111,5721,Spruce
3050,16,67,6,3229,5783,Other
3004,13,124,3,3500,5934,Other
2952,10,201,16,3736,6078,Other
3034,12,362,43,5550,5100,Spruce
2703,20,127,49,1500,780,Other
2685,23,95,31,1440,722,Other
2661,25,67,23,1380,663,Other
3057,4,0,0,3069,5740,Spruce
3050,13,30,-3,3127,5770,Spruce
3060,5,495,69,5700,5139,Spruce
2945,14,0,0,4671,4737,Spruce
2704,18,124,40,1530,797,Other
2676,24,67,22,1440,713,Other
2621,14,0,0,1290,571,Other
3060,13,30,3,3046,5768,Spruce
2975,15,124,7,3543,6039,Other
3067,4,518,76,5739,5125,Spruce
2719,16,150,45,1621,874,Other
2638,15,0,0,1351,618,Other
2700,19,67,26,1533,779,Other
2673,22,42,9,1473,721,Other
2654,11,0,0,1413,664,Other
2664,12,0,0,1445,684,Other
3050,8,360,59,5638,4978,Spruce
2858,8,268,7,3288,3034,Other
2854,9,285,5,3246,2974,Other
3047,11,95,29,3182,5994,Spruce
2873,6,201,11,3459,3242,Other
2680,12,0,0,1511,730,Other
2676,14,30,2,1481,700,Other
2678,15,42,7,1421,641,Other
2839,9,190,23,3055,2612,Other
2792,7,228,4,2862,2282,Other
3103,11,201,49,2870,5920,Spruce
2995,14,201,13,5167,4670,Other
2702,1,0,0,1727,932,Other
2991,8,268,32,5024,4582,Spruce
3004,6,180,13,5222,4624,Other
2919,6,150,0,3903,6349,Other
2945,14,376,45,5535,5134,Other
3054,1,390,63,5742,4830,Other
2978,5,295,50,4847,4455,Spruce
2915,8,0,0,4345,4260,Other
2756,4,150,2,2571,1770,Other
2717,4,0,0,2037,1230,Other
2928,1,150,23,4194,4050,Other
2770,3,258,7,2813,2011,Other
2656,23,283,-23,1320,518,Other
2750,5,150,9,2370,1565,Other
2907,7,350,13,4041,3783,Other
2781,13,42,6,3162,2465,Other
2715,5,124,-1,1920,1120,Other
2968,11,216,23,3426,6508,Spruce
2739,8,134,26,2160,1366,Other
2922,3,218,18,4283,4027,Other
2792,6,108,29,3180,2442,Other
3064,8,371,23,2822,6357,Spruce
3041,14,513,50,5911,4636,Other
2888,8,470,72,3700,3164,Other
3080,1,247,39,2715,6347,Spruce
2613,27,170,55,1260,558,Other
2978,4,108,13,3247,6576,Spruce
2952,12,0,0,4928,4105,Spruce
2773,14,108,24,3019,2338,Other
3057,8,390,16,2783,6452,Spruce
3064,16,228,60,5623,4361,Other
2742,9,268,23,2455,1725,Other
2677,16,85,9,1680,953,Other
2567,18,60,9,1110,492,Other
2739,6,228,20,2465,1761,Other
3001,14,641,101,5749,4570,Other
3014,31,95,54,4950,3973,Spruce
2584,13,150,39,812,480,Other
2902,6,558,89,3643,3107,Other
3047,9,424,85,2760,6661,Spruce
2909,6,212,50,4092,3586,Other
2910,5,234,51,4063,3556,Other
3011,10,212,36,2912,6632,Spruce
2998,8,124,23,2987,6557,Spruce
3011,12,674,111,5753,4386,Other
3008,12,309,36,5353,3950,Spruce
3004,10,192,29,5232,3899,Spruce
3031,6,513,27,5542,4002,Spruce
2939,5,379,39,5448,4506,Other
2949,12,437,49,5506,4471,Other
3028,9,242,53,5079,3771,Spruce
2900,1,90,0,5152,4667,Other
2932,7,247,17,3861,5585,Other
2909,5,324,5,4554,5006,Other
2909,3,350,5,4582,4985,Other
2900,3,300,-2,4725,4880,Other
2867,12,437,114,3363,2963,Other
3047,10,618,75,5664,3811,Spruce
2617,14,30,0,1652,1383,Other
2998,7,108,16,2978,6224,Other
2962,7,497,47,3610,5658,Other
2759,12,120,35,2782,2462,Other
2646,33,60,9,1771,1518,Other
3027,17,700,127,5844,4011,Other
2963,13,175,0,4557,3360,Other
2919,15,175,33,4375,3311,Spruce
2690,24,120,34,1816,1645,Other
2660,9,297,60,1307,1249,Other
2955,21,451,55,5590,4074,Other
2953,13,134,3,4518,3297,Other
2887,17,95,13,4252,3273,Spruce
3014,8,150,23,2888,6169,Other
2995,11,484,17,3209,5849,Spruce
2965,6,0,0,4778,3283,Spruce
2982,9,437,-7,3387,5641,Other
2739,10,270,80,1765,1742,Other
2983,5,400,-6,3406,5600,Other
2916,3,335,16,5442,4030,Other
3047,3,932,141,5900,3591,Spruce
2751,2,0,0,3068,2912,Spruce
2690,7,514,78,967,1310,Other
2599,10,30,-1,558,1233,Other
2919,7,408,19,5490,3945,Other
2975,12,616,59,5780,3739,Other
2617,9,127,16,573,1290,Other
2574,7,0,0,408,1318,Other
2939,11,60,7,3980,5016,Other
2915,10,60,0,4397,3018,Spruce
2765,5,0,0,3263,3107,Spruce
2784,13,170,37,2758,2687,Other
2850,22,42,14,3976,2971,Spruce
2919,7,350,16,5470,3853,Other
2995,14,638,89,5932,3487,Other
2817,15,390,74,2561,2613,Other
2932,2,485,13,4326,4597,Other
2826,7,366,73,2648,2704,Other
2795,10,451,95,2260,2389,Other
2760,5,547,66,1842,2079,Other
2700,9,433,-15,1124,1691,Other
3001,9,592,92,5966,3379,Other
2699,3,390,2,908,1670,Other
2730,6,270,14,1353,1883,Other
2655,8,384,104,607,1634,Other
2644,14,319,93,518,1624,Other
2998,12,553,89,5940,3271,Other
2854,8,446,99,2791,2912,Other
2809,8,458,36,2251,2486,Other
2633,19,258,82,454,1651,Other
2588,10,182,47,277,1654,Other
2811,10,433,38,2250,2506,Other
2926,15,300,20,5633,3446,Other
2839,14,488,66,2370,2616,Other
2689,11,210,2,932,1851,Other
3015,19,335,22,3777,4847,Other
2995,14,362,5,3836,4795,Other
2938,7,285,22,4891,2656,Other
2929,8,150,17,4651,2590,Other
2851,11,458,78,2402,2698,Other
2949,14,379,28,5131,2714,Other
2596,14,335,66,150,1321,Other
2939,8,306,26,4602,4080,Other
2805,17,170,32,1902,2436,Other
3074,9,42,4,3105,5353,Spruce
2932,16,283,119,3578,2418,Other
2868,20,95,33,3369,2468,Spruce
2864,8,451,63,2741,2713,Other
2946,14,170,35,4298,2352,Other
3021,12,564,21,3847,4662,Spruce
3018,14,631,22,3936,4569,Other
2863,6,390,62,2869,2577,Other
2978,6,524,61,5532,2688,Other
2945,12,324,110,3561,2278,Other
2618,18,170,47,458,1866,Other
2968,9,365,51,5386,2557,Other
2734,5,277,16,1645,2445,Other
2728,11,277,19,1587,2416,Other
2762,5,30,-3,1972,2647,Other
2922,5,120,9,4843,3582,Other
2926,11,90,9,5123,2375,Other
2962,6,518,45,5549,2514,Other
2624,27,60,22,1195,2374,Other
2917,5,210,33,3413,2125,Other
2644,3,85,-4,509,1426,Other
2645,4,134,-3,467,1368,Other
3024,16,297,26,4116,4161,Spruce
2651,14,242,4,641,1783,Other
2936,7,285,30,5773,2571,Other
2813,14,60,12,2845,2313,Other
2617,19,30,6,1307,2506,Other
2952,5,212,33,4824,2022,Other
2968,17,283,41,4735,1992,Other
2992,6,458,79,4439,1919,Other
2976,9,277,39,4173,1891,Other
2796,9,0,0,2794,2323,Other
2955,9,421,49,5660,2428,Other
2917,13,30,0,3707,1907,Spruce
2821,20,90,20,2889,2247,Other
2794,20,124,29,2629,2408,Other
2661,4,67,4,631,1499,Other
2793,17,30,-2,2810,2274,Other
2976,19,319,58,4779,1917,Other
2807,21,85,11,2876,2215,Other
3109,13,446,16,3469,4669,Other
3109,7,362,42,3774,4310,Spruce
2792,19,67,8,2856,2208,Other
2775,16,30,-3,2799,2244,Other
3113,13,376,23,3684,4380,Spruce
2919,9,467,3,4830,3187,Spruce
2757,12,0,0,2751,2259,Other
2952,14,335,13,4604,3375,Spruce
2764,15,42,7,2789,2216,Other
2753,19,60,-3,2771,2213,Other
2744,19,30,1,2742,2232,Other
2736,18,0,0,2714,2252,Other
2954,10,301,79,4308,1657,Other
2662,23,30,8,2173,2588,Other
2988,14,228,3,4298,3596,Other
2965,14,361,6,4509,3383,Other
2663,21,30,11,2214,2546,Other
2600,10,247,33,277,1195,Other
2942,16,499,3,4656,3211,Spruce
2718,18,30,-2,2719,2207,Other
2695,19,30,-1,2608,2291,Other
2669,3,342,17,696,1559,Other
2753,20,108,24,2813,2123,Other
2721,18,42,13,2730,2185,Other
2686,10,0,0,2592,2293,Other
2676,5,0,0,2483,2352,Other
2610,6,272,13,323,1256,Other
2706,18,60,-1,2714,2185,Other
2709,24,127,59,2125,2563,Other
2676,3,391,24,883,1745,Other
3201,8,331,59,2908,5058,Spruce
2688,7,30,3,2644,2227,Other
2685,2,30,4,2617,2241,Other
2684,6,0,0,2630,2215,Other
2714,25,127,45,2207,2479,Other
2766,5,85,-3,1813,2800,Other
2695,10,0,0,2778,2101,Other
2690,6,0,0,2751,2123,Other
2769,9,67,0,1832,2780,Other
2795,24,153,23,3259,1740,Other
2740,27,175,70,2239,2432,Other
3009,7,446,42,5071,1631,Other
2964,19,124,32,4607,1434,Other
2783,30,255,114,2180,2467,Other
2781,9,190,5,1987,2630,Other
2775,8,134,0,1940,2673,Other
2781,3,60,11,1871,2739,Other
2593,8,85,-5,335,1279,Other
3149,13,150,33,3438,4269,Spruce
3044,5,342,20,4119,3538,Spruce
2919,4,228,6,4914,2754,Spruce
2786,11,182,10,2005,2609,Other
2780,8,124,4,1959,2652,Other
2780,9,95,4,1936,2674,Other
2872,9,0,0,4336,1323,Other
2796,2,240,20,2071,2546,Other
2790,10,180,14,2024,2588,Other
2769,11,95,12,1663,2869,Other
2719,7,361,33,1290,2177,Other
2763,23,201,66,2728,2032,Other
3011,9,659,7,4341,3215,Other
2955,13,481,42,4590,2967,Spruce
3149,7,67,7,3282,4310,Spruce
2808,9,0,0,4034,1230,Other
2811,13,228,35,2145,2464,Other
3205,5,570,63,2797,4817,Spruce
2892,23,150,51,4337,1140,Other
2922,14,283,6,5205,2218,Other
2828,23,424,143,2556,2086,Other
2598,7,30,0,582,1482,Other
2972,10,402,7,4565,2880,Spruce
2834,26,430,139,2647,2005,Other
2810,14,300,64,1666,2620,Other
2684,17,30,-1,1107,2047,Other
2613,9,42,4,685,1626,Other
2647,2,323,18,726,1299,Other
2667,9,541,13,691,1293,Other
2942,8,379,13,5232,2110,Other
2971,15,85,18,4734,1131,Other
2822,5,234,66,1758,2765,Other
2661,11,30,-6,1045,1996,Other
2687,10,437,34,792,1350,Other
3103,8,524,-5,3805,3589,Spruce
3034,22,531,16,4252,3131,Other
2682,19,60,6,1110,2060,Other
2876,22,532,181,2742,1894,Other
2802,6,433,50,1718,2630,Other
2958,25,351,134,4440,932,Other
2890,16,430,182,2954,1723,Other
2707,18,42,6,1242,2190,Other
2706,21,108,14,1172,2123,Other
2702,22,120,21,1149,2101,Other
2686,23,95,36,1082,2036,Other
2727,17,0,0,1332,2278,Other
2720,17,30,0,1308,2255,Other
2733,13,30,-1,1350,2297,Other
2724,15,67,4,1302,2252,Other
2619,4,42,3,819,1691,Other
3195,11,366,53,2952,4401,Spruce
3139,6,531,13,3599,3690,Spruce
2929,16,591,65,2698,1911,Other
2849,22,120,44,2115,2646,Other
2733,5,60,-1,1364,2315,Other
2803,20,182,56,3721,1124,Other
2931,12,579,215,3018,1621,Other
2871,14,228,47,2385,2271,Other
2737,13,30,-5,1406,2357,Other
2730,1,60,-9,1383,2335,Other
2653,13,190,43,900,1722,Other
2655,13,741,45,630,1652,Other
2659,13,201,43,930,1749,Other
2665,10,190,32,930,1728,Other
2871,32,218,97,4173,792,Other
2988,7,446,72,5467,1437,Other
2920,29,433,186,3511,1265,Other
2718,17,242,78,1142,2082,Other
2682,8,547,15,812,1702,Other
2662,6,616,52,543,1765,Other
3096,14,242,26,4180,2984,Other
2975,11,633,245,3282,1381,Other
2653,12,511,43,424,1833,Other
2876,26,295,121,3746,1074,Other
2969,4,531,99,2930,1679,Other
2662,10,531,52,481,1841,Other
2919,7,85,3,5022,1841,Other
2738,12,30,7,1506,2461,Other
2673,23,30,11,1113,1800,Other
2696,11,120,29,1167,1776,Other
2694,14,480,27,866,1782,Other
3024,17,67,6,4397,2584,Other
2986,18,234,17,4805,644,Other
2860,5,485,105,1964,2905,Other
2690,11,495,-20,800,1820,Other
2987,17,390,43,4629,547,Other
2787,17,218,32,1767,2718,Other
2934,25,418,171,3736,1044,Other
2712,7,190,45,1146,1862,Other
2954,13,390,51,3012,1608,Other
2750,7,30,1,1676,2631,Other
3044,16,108,-5,4295,2589,Other
2719,10,371,8,812,1935,Spruce
2764,7,323,32,1437,2372,Other
3034,17,212,-9,4325,2491,Other
2753,14,175,40,1398,2315,Other
3109,7,30,-3,3947,2962,Spruce
2936,13,300,20,4687,2012,Other
2875,15,277,43,2506,2402,Other
2878,20,134,61,4085,738,Other
2856,14,371,36,2086,2905,Other
