Political_ID,Name_Political,Date_Political,Headline_Political,Description_Political
18,government+policy,2019-08-16,"Degrowth fetishists, just be honest: you would make people poorer to fight climate change"," It is a fact that if people do less and use less, then GDP will fall
            "
19,government+policy,2019-08-14,Sweden sells 10-year debt with negative yield for first time," Issuance of bonds with sub-zero yields puts country in club with Germany and Japan
            "
20,government+policy,2019-08-14,German economy contracts as export engine stutters," Domestic demand contributed positively as foreign trade slowed
            "
21,government+policy,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
22,government+policy,2019-08-08,US yield curve sends strongest recession warning since 2007," Bond market indicator worsens as questions swirl about Federal Reserve’s next move
            "
23,government+policy,2019-08-07,We could be on the brink of economic war between the US and China," Nervous markets watch as new aggression replaces old rules of interdependence
            "
24,government+policy,2019-08-05,Renminbi falls past Rmb7 per dollar for first time in 11 years," China’s central bank blames tariffs for move as Asian currencies and markets weaken
            "
25,government+policy,2019-07-31,Central Bank says hard Brexit not priced into sterling even after slump," Recession would be averted but slowdown a likely ‘significant shock’ for the economy
            "
26,government+policy,2019-07-29,"Cliff Taylor: As a first-time buyer, should you be allowed to borrow more?"," We need to concentrate on affordable homes, not unaffordable loans
                    "
27,government+policy,2019-07-26,Lower ECB rates leave Irish taxpayers stuck with our banks," Euro-zone economy remains in malaise as Draghi enters twilight of his tenure
            "
28,government+policy,2019-07-25,Farmers could boost their incomes by switching from beef," John FitzGerald: The economics of beef are on a knife edge – changing makes sense
            "
29,government+policy,2019-07-25,What do the new mortgage figures tell us about the property market?," Smart Money: With house prices and construction stalling, what’s going on?
                    "
30,government+policy,2019-07-22,Central Bank joins warnings over Government spending plans," Sharon Donnery cautions against using corporation tax windfall for current expenditure
            "
31,government+policy,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
32,government+policy,2019-07-19,Christine Lagarde must learn to run an economy that is slowing to a crawl," Lagarde’s most perilous moments will come when she cannot rely on a prepared text, like news conferences after ECB policy meetings
            "
33,government+policy,2019-07-18, Tax strategy papers: the key highlights," Income tax; changes to USC and PRSI and levies on carbon usage, motoring and food supplements all feature
            "
34,government+policy,2019-07-17,Reit dividends increase tenfold in four years," Four listed trusts paid €93.49 million in dividends last year
            "
35,government+policy,2019-07-17,"€50,000 threshold for higher rate tax will cost €2.3bn"," Number of workers paying higher rate tax has more than doubled since 2010
            "
36,government+policy,2019-07-14,"UK at highest risk of recession since 2007, says think-tank"," UK at highest risk of recession since 2007, says think-tank
            "
37,government+policy,2019-07-11,NTMA sells 10-year bonds at record-low 0.136% rate," Rate reflects growing expectations the ECB and other major central banks are on track to cut rates
            "
38,government+policy,2019-07-10,"Ireland’s economic outlook ‘clouded in uncertainty’, EU warns"," If Brexit or tax reform don’t undermine growth, economy is at risk of overheating
            "
39,government+policy,2019-07-09,Lagarde to lean on Lane at ECB," Cantillon: Surprise nomination has market participants scrambling to review her monetary policy musings
            "
40,government+policy,2019-07-08,Turkish lira weakens 2.1% after central bank governor dismissed," Concern that monetary policy will be eased too quickly as president dismisses governor
            "
41,government+policy,2019-07-05,Carney the early front-runner as Europe’s candidate for IMF," European governments actively discussing nomination of departing Bank of England governor
            "
42,government+policy,2019-07-05,German manufacturing sinks as demand shrinks," Expectations are ECB will revive stimulus
            "
43,government+policy,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
44,government+policy,2019-07-03,Irish long-term interest rates hit record low," Bond investors cheer Christine Lagarde’s nomination for ECB presidency
            "
45,government+policy,2019-07-02,"Tax strategy group eyes property funds, gambling and carbon tax"," Review to consider impact of foreign institutional investors buying up Irish property
            "
46,government+policy,2019-06-28,John FitzGerald: Budget 2020 proposals may not be the right answer," Pumping money into construction will lead to price rises, not increased supply
            "
47,government+policy,2019-06-18,"Banker accountability, a new energy provider and credit union saving caps explained"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
48,government+policy,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
49,government+policy,2019-05-21,"Irish property market at risk of new boom to bust cycle, OECD warns"," Disorderly Brexit ‘could plunge the economy into a recession’
            "
50,government+policy,2019-05-17,How do you raise carbon taxes without hitting labourers more than lawyers?," Caveat: Good luck with handling this one in October’s budget, Paschal Donohoe
            "
51,government+policy,2019-05-13,US-China trade war: What the hell has just happened?," Q&A: China’s retaliatory tariffs on US goods is the most serious turn in the dispute so far
            "
52,government+policy,2019-05-10,IMF seeks healthcare review to avoid spending overruns," Report also suggests further limits to consumer borrowing
            "
53,government+policy,2019-05-09,NTMA’s €3bn market dash no-brainer as yields tumble," The yield on Ireland’s benchmark 10-year bonds has fallen below 0.5 per cent this week.
            "
54,government+policy,2019-05-07,"State’s GDP growth to slow to 3.8%, EU forecast warns"," European Commission predicts 3.4% rate in 2020
            "
55,government+policy,2019-05-01,New Zealand treasury head Gabriel Makhlouf new Central Bank governor," A number of domestic candidates had sought position
            "
56,government+policy,2019-04-18,Ireland has to move on carbon tax – why are we still arguing about it?," Smart Money: We need to cut emissions and avoid big fines – but politicians are nervous
                    "
57,government+policy,2019-04-17,China’s economic growth unexpectedly steadies," But experts say it is too early to call a recovery
            "
58,government+policy,2019-04-12,'Thundering disgrace' - Business hits out at North’s lack of Brexit influence," CBI regional chief Angela McGowan is concerned for future of North’s economy
            "
59,government+policy,2019-04-03,China’s economy stabilising but risks lie ahead," Martin Wolf: Doubts linger about President Xi’s commitment to private enterprise
            "
60,government+policy,2019-03-28,"S&P cuts euro zone growth forecast, citing weaker global trade"," Agency also says ECB not likely to start raising rates until January 2020
            "
61,government+policy,2019-03-28,China’s economic performance ‘stable’ says premier," Government plans to stick with strategy of targeted policy support
            "
62,government+policy,2019-03-23,The next Central Bank governor must keep telling politicians to take a hike," Before the last crash, the occupant of the governor’s chair was usually a retired apparatchik from the Department of Finance
            "
63,government+policy,2019-03-13,Northern businesses have been ‘hung out to dry’," Industry leaders warn of potential for chaos and increased lawlessness around Border
            "
64,government+policy,2019-03-05,China sets lower GDP target as US trade war bites," Corporate defaults are on the rise and bad debt at banks is reaching a level not seen in nearly 20 years
            "
65,government+policy,2019-03-05,"China to slash taxes, boost lending to prop up slowing economy"," Government is targeting economic growth of 6.0 to 6.5% in 2019
            "
66,government+policy,2019-03-02,A disappointing week for all three of the Republic’s pillar banks," Business week: Eir’s customer service comes under fire, decreasing appetite for luxury homes and foldable phones
            "
67,government+policy,2019-02-28,UK trade policy for food after Brexit throws up three scenarios," The imposition of full WTO tariffs on all imports would cause huge problems for our beef and dairy sectors
            "
68,government+policy,2019-02-27,"Irish housing policy aggravating homelessness, says EU Commission"," Brussels says rising rents and insufficient construction behind more homelessness
            "
69,government+policy,2019-02-20,Germany and France say EU ‘champions’ needed to take on Chinese and US rivals," The aim is to protect the EU’s industrial base from what is seen as predatory competition from China and threats from trade wars
            "
70,government+policy,2019-02-08,Children's hospital: A spectacular example of how things can go wrong," Smart Money: All the classic project overrun mistakes are evident in this debacle
                    "
71,government+policy,2019-02-07,Government urged to rethink housing policy as Brexit nears," Oireachtas report criticises aspects of Government policy, including HAP scheme
            "
72,government+policy,2019-02-01,Californian and Mexican businesses struggle with border uncertainty," Closure of San Ysidro border crossing last year has led to financial hardship for many
            "
73,government+policy,2019-02-01,Lifting of US sanctions on Aughinish brings relief and controversy," Democrats query Trump’s connection to the Russian owner of Shannon alumina plant
            "
74,government+policy,2019-02-01,John FitzGerald: No-deal Brexit would make Budget 2019 look prescient," Instead of fuelling the boom the Government should be saving for future shocks
            "
75,government+policy,2019-01-23,Is there any way to avoid a hard Border in a no-deal Brexit?," If UK imports chlorine-washed chicken from US, what stops it entering Irish and EU markets without checks?
            "
76,government+policy,2019-01-22,China’s growth slowdown ‘not going to be a disaster’," Davos 2019: Beijing can still ‘leverage a lot’ to expand fiscal policy
            "
77,government+policy,2019-01-21,How the different Brexit options would affect UK," The choices range from staying put to no-deal with Canada-style agreement and Norway plus in the mix
            "
78,government+policy,2019-01-16,"May loses Brexit vote, Ireland rejects EU tax plans, and Datalex shares fall 59%"," Business Today: the best news, analysis and comment from ‘The Irish Times’ business desk
            "
79,government+policy,2019-01-11,China to lower GDP growth target as trade war rumbles on," As the world’s second-largest economy loses steam, all eyes on employment levels
            "
80,government+policy,2018-12-28,It may be decades before real house prices again rise strongly," While fiscal issues remain, we do not live in the dystopia described in too many articles
                    "
81,government+policy,2018-12-27,"Finland’s Erkki Liikanen most likely to head ECB, say economists"," Central banker who played key post-crisis role seen as favourite for top job
            "
82,government+policy,2018-12-23,Good tidings: Ireland offers a haven from the populist plague," Immigration is blamed for problems it never causes and rarely gets credit for its benefits
            "
83,government+policy,2018-12-22,Donald Trump has discussed firing Fed Chief Jerome Powell - reports," Any attempt by Trump to fire Fed chief could have devastating effects across markets
            "
84,government+policy,2018-12-21,"Glitter bombs, nativity bottoms and second referendum backers"," Planet Business: Out of the ‘swamp’, into the bleak midwinter
            "
85,government+policy,2018-12-14,Chinese data show economy slowing despite stimulus," Chinese retail sales grow at slowest pace in 15 years
            "
86,government+policy,2018-12-09,"Crunch Brexit vote to proceed, insists UK exit minister"," Seen & Heard: Stephen Barclay rejects reports that May is seeking to delay vote
            "
87,government+policy,2018-12-03,UK politics struggles with the idea of being ‘trapped’ in the backstop," Cliff Taylor: Latest legal document highlights reality of the Irish Border backstop
            "
88,government+policy,2018-11-30,Is the Government going for broke again?," Budgetary watchdog stops just short of accusation that recovery is being squandered
            "
89,government+policy,2018-11-28,Trump steps up attack on Federal Reserve’s monetary policy," President believes raising of rates is choking off economic boom
            "
90,government+policy,2018-11-25,Brexit bedlam consolidates support for EU and euro in Republic," Eurobarometer survey shows overwhelming majority believe euro has been good for State
            "
91,government+policy,2018-11-21,"Foreign workers are required to meet housing targets, says ESRI"," Think-tank warns of accommodation and rent cost issues around inflow of labour
            "
92,government+policy,2018-11-12,Ibec predicts slowdown in growth and warns on Brexit," Business lobby group also expresses concern in relation to State’s corporate tax reliance
            "
93,government+policy,2018-11-08,European Commission in fresh warning on Irish corporation tax base," Autumn outlook flags uncertainty ‘of some sources of government revenue’
            "
94,government+policy,2018-11-07,Self-employed tax credit to equal employee credit in Budget 2020," Donohoe said he plans to raise credit if still Minister next year
            "
95,government+policy,2018-11-07,"Goodbody upgrades economic forecast, but warns of Brexit ‘uncertainty’"," Irish economy performing ‘well ahead of expectations’, though housing still an issue
            "
96,government+policy,2018-10-28,Alarm as workers seek a bigger slice of economic pie," Trump’s economic advisers see reds under every bed, a sign power elites are worried
            "
97,government+policy,2018-10-26,State watchdog says North ‘not fully ready’ for no-deal Brexit," Managing director of meat processor Kepak Group says company has bought two businesses in the UK to maintain its supply chain
            "
98,government+policy,2018-10-25,ECB leaves room for interest rate increase late next year," Bank said it will cap bond-buying by year-end
            "
99,government+policy,2018-10-23,UK readies flotilla plan for supplies in no-deal Brexit," UK government looks at chartering ships to ferry in critical food and medicines
            "
100,government+policy,2018-10-19,Irish firms are struggling to prepare for life after Brexit," Cliff Taylor: Businesses have faced uncertainty since the vote in the summer of 2016 
            "
101,government+policy,2018-10-11,Higher taxes in hospitality and other sectors have made us less competitive," We must invest more in areas which underpin productivity; talent and higher education must be prioritised
            "
102,government+policy,2018-10-08,Housing experts warn Government against short-term measures to address crisis," More incentives for buyers will only inflate land values, say experts ahead of budget day
            "
103,government+policy,2018-09-28,Patrick Honohan: ‘Many people thought it was too good to be true – and it was’," There were few options in 2008 'and that was fault of Dame St, not Leinster House'
            "
104,government+policy,2018-09-26,Donohoe warns of need to use Budget 2019 to protect against shocks," Minister for Finance tells committee housing crisis ‘weighs very heavily’ upon him
            "
105,government+policy,2018-09-25,Argentina central bank chief resigns," Peso tumbles almost 4 per cent against the dollar on the news Luis Caputo to step down
            "
106,government+policy,2018-09-20,"Global economic growth has peaked, OECD says"," Paris-based policy forum cut GDP growth projections from 3.8% to 3.7%
            "
107,government+policy,2018-09-20,Five things you need to know about why the Irish Border is blocking a Brexit deal," Smart Money: Everything you wanted to know about the Border question, but were afraid to ask
                    "
108,government+policy,2018-09-16,"Government policy making housing crisis worse, expert claims"," UCD academic Orla Hegarty says Goverment ‘policy tweaks’ is fuelling land speculation
            "
109,government+policy,2018-09-14,Bank of England governor Mark Carney: ‘Assume things will go wrong’," UK regulator confident of financial system’s ability to withstand a ‘disorderly’ Brexit
            "
110,government+policy,2018-09-14,How Ireland’s property crisis is affecting the real economy," Housing issue is affecting disposable income, mobility, competitiveness and quality of life
                    "
111,government+policy,2018-09-14,State continues to demolish viable housing stock instead of repairing it," Government should address housing shortages and climate change at the same time
            "
112,government+policy,2018-09-13,Turkish central bank raises rates to stem currency crisis," Inflation in Turkey has soared, nearing 18% last month
            "
113,government+policy,2018-09-13,State sells €1bn of bonds ahead of ECB meeting," NTMA has now raised €13.5bn of its full-year targeted range of €14bn-€18bn
            "
114,government+policy,2018-09-13,ECB stays on course to curb stimulus," Bank keeps policy unchanged, says interest rates to stay flat until at least through next summer
            "
115,government+policy,2018-09-12,"EU should scrap national vetoes on tax, says Juncker"," Commission president’s comments likely to cause disquiet within Government
            "
116,government+policy,2018-09-02,Chris Johns: Stalling house prices are a good thing," Overvalued house prices are pernicious but try getting vested interests to admit that
            "
117,government+policy,2018-08-31,Trump threatens to pull out of World Trade Organisation," Trump also declared China won’t outlast the US in the trade war between the superpowers
            "
118,government+policy,2018-08-31,Danny McCoy tunes up for Ibec to perform on a bigger stage," CEO wants to expand organisation overseas as business becomes more ‘internationalised’
            "
119,government+policy,2018-08-30,Argentina raises interest rates to 60%," IMF studying Argentina request for early help as peso crashes
            "
120,government+policy,2018-08-26,Winner-takes-all mentality is not good for society," Chris Johns: The bonus paid to Apple’s Tim Cook shines a light on the inequality issue
            "
121,government+policy,2018-08-23,Investors losing faith in State’s education credentials – Ibec," Employers’ group says projects being lost because of lack of funding for higher education
            "
122,government+policy,2018-08-20,"As economy worries mount, Turkey prepares to battle it out"," President Erdogan turns ire on ubiquitous iPhone, symbolic of muscular US trade policy
            "
123,government+policy,2018-08-20,"Economy set to grow despite external threats, says Ibec"," As UK set to outline plans for no deal, survey finds Irish businesses unprepared for Brexit
            "
124,government+policy,2018-08-14,Turkey set to ban sale of iPhones as trade dispute with US deepens," President Erdogan says Turkey will boycott US electronic products in latest retaliation
            "
125,government+policy,2018-08-09,Diplomatic rift with Washington drives Turkish lira to fresh low," Currency down 30 per cent in 2018 as US meeting fails to progress sanctions dispute
            "
126,government+policy,2018-08-01,Economy flying on one engine towards stormy Brexit," Cliff Taylor: No quick fix to our economic reliance on handful of big players
            "
127,government+policy,2018-07-16,IMF warns escalating trade tensions cloud outlook for global economy," Washington DC-based fund says trade war could derail recovery and halt two-year upswing
            "
128,government+policy,2018-07-16,China GDP growth softens as trade row stirs concerns," World’s second largest economy grew 6.7% in the last quarter
            "
129,government+policy,2018-07-16,‘Rainy day’ money should be redirected into education – Ibec," Business lobby says easing third-level funding crisis would be wiser use of fund
            "
130,government+policy,2018-07-15,Trump and global leaders show deep ignorance of history," Chris Johns: US president’s mistaken analysis of China’s trade surplus risks carnage
            "
131,government+policy,2018-07-13,Irish SMEs face hardship amid rising business costs," Commercial rates, insurance and access to banking service identified as chief concerns in new Oireachtas report
            "
132,government+policy,2018-07-09,"Majority of school-goers will work in jobs that don’t currently exist, Ibec says"," Digitalisation and changing lifestyles are transforming careers, says lobbying group
            "
133,government+policy,2018-06-28,IMF says Ireland should reduce bank stakes and boost housing," Fund warns in its annual assessment that the Government should guard against boom-bust dynamics
            "
134,government+policy,2018-06-14,"New homes overstated by nearly 60%, CSO figures show"," Fewer than 15,000 dwellings built in Republic last year, new figures reveal
            "
135,government+policy,2018-06-13,"Council paying rents up to €2,800 a month for affordable housing"," Rising HAP payments seen by some as another inflationary pressure on rental market
            "
136,government+policy,2018-06-08,Italy using EU as a scapegoat can be an obstacle to deep reform," Italy has the largest absolute debt load of any EU country, and the third largest in the world
            "
137,government+policy,2018-06-06,"Resilience of Irish bonds evidence of financial strength, says Donohoe"," Minister highlights performance of bonds in wake of recent market turbulence
            "
138,government+policy,2018-06-06,ECB close to settling question of bond-buying programme," Upcoming policy meeting pivotal for reaching decision on QE, ECB chief economist says
            "
139,government+policy,2018-06-04,Ibec spent €1.3m lobbying in the EU last year," Irish body third biggest spender on lobbying in EU, behind two groups in Germany
            "
140,government+policy,2018-05-31,"High debt levels could damage Ireland’s economic prospects, OECD warns"," Agency says high private debt levels left State ‘sensitive to rising interest rates’
            "
141,government+policy,2018-05-29,Italian bonds suffer rout as political turmoil intensifies," Investors have been selling Italy’s bonds and equities
            "
142,government+policy,2018-05-28,Markets hit as Carlo Cottarelli named as Italy’s new prime minister," Former IMF official to run technocratic government after collapse of populist coalition
            "
143,government+policy,2018-05-22,Recovery of housing market not (yet) cause for concern – Moody’s," Growth forecast for Irish economy upgraded to 5% but house prices ‘warrant close monitoring’
            "
144,government+policy,2018-05-17,Nine social houses does not a housing policy make," Cantillon: Fanfare around Fingal launch reflects State failure to deal with homes crisis
            "
145,government+policy,2018-05-14,IMF urges Government not to cut taxes in budget," Fund calls for tighter fiscal stance to offset potential future shocks to economy
            "
146,government+policy,2018-05-11,Encouraging more women into the workforce would benefit economy," Also encouraging people with disabilities would enhance capacity of Irish economy
            "
147,government+policy,2018-05-09,Border not ‘insoluble obstacle to Brexit negotiations it has been made out to be’," Policy Exchange paper claims frictionless border in Ireland entirely possible
            "
148,government+policy,2018-05-04,US job growth rebounds modestly; unemployment rate falls," Unemployment rate drops to 3.9% from 4.1% as average hourly earnings rise
            "
149,government+policy,2018-05-03,EU upgrades Irish economy but warns of risks," Spring forecasts see Brussels raise 2018 growth projection to 5.7%
            "
150,government+policy,2018-05-02,Government tax revenues €202m below target in April," Department of Finance expects shortfall to unwind before end of the year
            "
151,government+policy,2018-04-27,‘Goldilocks’ Irish economy faces numerous threats - NTMA chief," State still borrowing money just to pay interest costs, event told
            "
152,government+policy,2018-04-23,US government bonds approach major milestones," Uutlook for at least two and possibly three more rate rises this year has lifted yield on the more policy-sensitive two-year bonds
            "
153,government+policy,2018-04-18,"Global growth is built, alas, on shaky foundations"," Martin Wolf: There are many variables which could undermine the fragile recovery
            "
154,government+policy,2018-04-18,UK inflation unexpectedly cools to one-year low of 2.5%," Shift raises doubts over whether Bank of England will raise interest rates in May
            "
155,government+policy,2018-04-13,Tighter focus means National Planning Framework more likely to deliver," Only by understanding the preferences of people and business can public policy influence development
            "
156,government+policy,2018-04-11,House prices forecast to rise by 10% in 2018," Friends First economist Jim Power sees no sign of slowdown in property market
            "
157,government+policy,2018-04-10,NTMA filling its boots with cheap money," Cantillon: State agency prepares to raise €3bn by selling a 15-year bond to investors
            "
158,government+policy,2018-04-08,Xi Jinping to outline economic reforms amid trade tension," Trump trade tariffs limit room for manoeuvre as hardliners argue against change
            "
159,government+policy,2018-04-02,May has plans for ‘customs partnership’ to solve Border dilemma," Trade experts say proposed scheme is challenging and would take years to implement
            "
160,government+policy,2018-03-31,Savills says no need for incentives on property purchase," Company says no evidence that investment is being choked off by higher costs
            "
161,government+policy,2018-03-24,General higher rates may undo new dawn for variable mortgage holders," Wedge between rates here and elsewhere may shrink just as ECB starts raising rates
            "
162,government+policy,2018-03-23,Stocks find some support after China-linked jitters," Beijing responds to Trump move by unveiling plans for tariffs on US imports
            "
163,government+policy,2018-03-21,What to look for at the Federal Reserve meeting," Jay Powell is widely expected to preside over his first interest rate increase
            "
164,government+policy,2018-03-16,Meet the Brexit negotiators: David Davis and Michel Barnier," The men in charge of negotiating Britain’s exit from the EU are divided by culture, politics and personality but united on one thing — they need to finish the job
            "
165,government+policy,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
166,government+policy,2018-03-09,New data protection regime could hamper vital research," Without access to proper data wrong policy levers might be applied
            "
167,government+policy,2018-03-05,China targets GDP growth of 6.5% while moving to cut debt," Premier Li wary of looming trade war with US as he targets risks to financial system in opening work report
            "
168,government+policy,2018-02-27,Fed chairman’s gradualist approach about to be tested," Janet Yellen’s succesor Jerome Powell has to deal with stock market volatility and inflation fears
            "
169,government+policy,2018-02-26,Jeremy Corbyn ups the Brexit ante with customs stance," Cliff Taylor: For Irish businesses trying to plan for Brexit, the likely outcome here is still as clear as mud and the risk of a hard Brexit remains
            "
170,government+policy,2018-02-22,"Brexit solution that avoids hard Border is possible, says James Wharton"," Keeping North within customs union irreconcilable with UK position, says ex-minister
            "
171,government+policy,2018-02-21,Britain’s Brexit destiny is to become Canada," Whatever way it is sliced and diced, the UK will become a mid-table satellite of the EU, just like Canada is to the US
            "
172,government+policy,2018-02-21,Economy forecast to grow by stronger-than-expected 4.7% this year," Bank of Ireland’s prediction more than one percentage point higher than official forecast
            "
173,government+policy,2018-02-07,Border back in focus as May insists Brexit means no customs union," Cliff Taylor: EU has called the British PM’s bluff on soft Brexit. Something has to give
            "
174,government+policy,2018-02-02,John FitzGerald: Why State contracts are proving costly," Excess complexity of tender processes can undermine competition and savings
            "
175,government+policy,2018-01-31,Yellen era ends with Fed set for March rate rise," Short-term outlook for inflation upgraded as chairwoman prepares to hand over to Jay Powell
            "
176,government+policy,2018-01-31,Firms need to be prepared for Brexit’s downside risks," European financial supervisory system will be ‘agile’ in response to Brexit, Philip Lane says
            "
177,government+policy,2018-01-30,"EU fiscal rules will be relaxed for Ireland to deal with Brexit-like shocks, says commissioner"," Valdis Dombrovskis says it is acknowledged Ireland will be EU state most affected
            "
178,government+policy,2018-01-26,EU has helped transform living standards of Europe’s people," John FitzGerald: Despite post-crisis anxiety, the EU has driven prosperity for its members
            "
179,government+policy,2018-01-26,Selfie protocol and staying on message in and away from the Davos spotlight," World Economic Forum backdrop is a buoyant global economy and stock-market highs
            "
180,government+policy,2018-01-26,Davos: Donohoe rejects race-to-bottom tax claims," Stiglitz says Vestager is a ‘real champion’ for pursuing Apple in tax case
            "
181,government+policy,2018-01-25,Davos: Varadkar disagrees with O’Brien over Dublin office bubble," Donohoe agrees with Taoiseach’s sentiments
            "
182,government+policy,2018-01-25,US’s Mnuchin forced to quell ‘currency wars’ fears as Trump lands in Davos," IMF boss Lagarde called on Treasury secretary to clarify his position as currency hit three-year low
            "
183,government+policy,2018-01-22,UK may never publish Brexit paper on financial services," May accused of leaving City of London ‘in the dark’
            "
184,government+policy,2018-01-19,Fears of a 'lost generation' recede as long-term unemployment falls," Better trained and educated unemployed a good fit for expanding workforce
            "
185,government+policy,2018-01-06,Ireland in danger of turning boom to bust again," The Crash – 10 years on: Housing market the main danger facing recovering economy
            "
186,government+policy,2018-01-06,The Crash – 10 years on: scars remain amid the recovery," The economic bounceback is benefiting many households but the legacy of the crash is still biting
            "
187,government+policy,2017-12-29,Domestic economy now fuelling our remarkable recovery," Strong growth can help tackle challenges of Brexit, tax changes and higher interest rates
            "
188,government+policy,2017-12-29,Business review of 2017: Brexit and Trump fail to halt global boom," This year's international economic renaissance shows how forecasts are more art than science
                    "
189,government+policy,2017-12-21,What does the Bombardier dispute mean for trade deals after Brexit?," The world of trade relationships in the Trump era is a harsh one
            "
190,government+policy,2017-12-18,‘Shared market’ Brexit model proposed by think-tank," Centre-left IPPR suggests compromise for the “the 70 per cent of people who want a sensible deal”
            "
191,government+policy,2017-12-09,Fruits of Nafta deal on the table," Trade agreement under renegotiation has benefited US and Canada as well as Mexico
            "
192,government+policy,2017-12-04,Britain is deluded when it comes to its global future," Martin Wolf: Here are six things that are impossible yet are being touted as the Brexit dividend
            "
193,government+policy,2017-11-29,Don’t blame the Central Bank for the broken housing market," Regulator review says house prices and bank lending are broadly economically sound
            "
194,government+policy,2017-11-27,British Irish chamber calls for new UK-EU customs arrangement," Arrangement would eliminate the need for a hard border on the island of Ireland, it says
            "
195,government+policy,2017-11-24,Irish whiskey set to benefit from China’s move on import taxes," Tariffs for 187 product categories will drop from an average 17.3 per cent to 7.7 per cent
            "
196,government+policy,2017-11-22,Guarded welcome for UK budget from business figures in North," Absence of Executive threatens to overshadow potential gains, Chamber warns
            "
197,government+policy,2017-11-21,German parliament votes to back Irish debt restructuring," Social Democratic Party opposes move which will save exchequer estimated €150m
            "
198,government+policy,2017-11-21,"Paradoxically, only hope for UK is to become more European"," Wolfgang Münchau: The delusions on both sides of Brexit debate need to be scotched
            "
199,government+policy,2017-11-21,Property dysfunction could send Tories packing before Brexit," Focus on property in UK budget reflects electoral threat facing the Conservative party
            "
200,government+policy,2017-11-19,Tax experts urge rethink of UK plan to cut corporation tax," Chancellor Philip Hammond urged to hold off on further cut to headline rate to 17%
            "
201,government+policy,2017-11-07,Only sane route for Brexit is taking the Norway option," Wolfgang Münchau: Necessary qualities of unity and strategic thinking are largely absent from UK government
            "
202,government+policy,2017-10-30,Euro zone economic confidence surges to almost 17-year high," Unemployment declining as consumer spending and corporate earnings rise
            "
203,government+policy,2017-10-25,Central banks are preparing for the next crash. Sadly nobody else is," Martin Wolf: Governments have failed to address the many frailties that still lead to financial excess.
            "
204,government+policy,2017-10-23,Wolfgang Münchau: Germany and UK interests look to align over Brexit," By the time the trade talks reach the critical point, both sides may conclude that the price of a compromise is worth paying
            "
