P_ID,Name_Pestal,Date_Pestel,Headline_Pestel,Description_Pestel
23,Unemployment rates,2014-01-10,Diverging paths of central banks made clear by ECB leaving door ajar on easing," Euro drops to lowest level in a year against pound following Draghi’s remarks   
            "
24,Unemployment rates,2014-01-10,High mobility of capital and technology means prospects of economy are unclear," Opinion: In the short term there is a prospect of a spurt of growth but attention needs to be paid to sowing the seeds of long-term prosperity   
            "
25,foreign+trade+policy,2014-01-13,EU expects exemption from US steel and aluminium tariffs," Impact of Brexit will be wide, and could take two decades to fully play out
            "
26,corruption,2014-01-14,Chinese data show economy slowing despite stimulus," Trump also declared China won’t outlast the US in the trade war between the superpowers
            "
27,Economic growth,2014-01-15,Failing elites threaten our future," Leaders richly rewarded for mediocrity cannot be relied upon when things go wrong    
            "
28,Economic growth,2014-01-15,Spanish property sector continues to struggle  as home sales drop ," Sales fell  by 16% in November compared with the same month in 2012   
            "
29,Interest rates,2014-01-16,Cantillon: ECB’s first woman will be acolyte of no man," Sabine Lautenschlaeger set  for top job   
            "
30,foreign+trade+policy,2014-01-17,China squares up to Trump over $60bn tariff move," Rating agency warns probability that EU-UK negotiations will fail is ‘substantial’
            "
31,Economic growth,2014-01-17,Irish Government regains investment grade rating from Moody’s," Way cleared for Far Eastern investors to buy Irish bonds   
            "
32,Economic growth,2014-01-17, Ireland regains  investment grade rating from Moody’s," Agency upgrades rating by notch to Baa3 in a major post-bailout boost for the Government   
            "
33,Economic growth,2014-01-17,Fitch affirms Netherlands credit rating ," But outlook for country is negative due to weak economic growth prospects   
            "
34,Economic growth,2014-01-17,Growth on rebound despite underlying presence of crisis," Evidence of a restorative process is to be found in surprising places   
            "
35,Interest rates,2014-01-17,Growth on rebound despite underlying presence of crisis," Evidence of a restorative process is to be found in surprising places   
            "
36,weather,2014-01-17,US housing starts fall less than expected," But colder weather may have dampened activity as groundbreaking drops 9.8 per cent   
            "
37,Economic growth,2014-01-20,Consumers predict Dublin price hike of 3.6% over coming year," New index from AIB/ESRI points to improving sentiment towards housing market   
            "
38,Interest rates,2014-01-20,State’s five-year borrowing costs hit record low on rating upgrade," Yields on five-year bonds fall 17 basis points to 1.62%, lower than equivalent US bonds   
            "
39,Interest rates,2014-01-20,Consumers predict Dublin price hike of 3.6% over coming year," New index from AIB/ESRI points to improving sentiment towards housing market   
            "
40,Interest rates,2014-01-20,Fears of a UK property bubble mount," Highest annual growth in property prices recorded since 2007 as calls come for more construction to boost supply   
            "
41,Inflation rates,2014-01-20,Fears of a UK property bubble mount," Highest annual growth in property prices recorded since 2007 as calls come for more construction to boost supply   
            "
42,Unemployment rates,2014-01-20,Fears of a UK property bubble mount," Highest annual growth in property prices recorded since 2007 as calls come for more construction to boost supply   
            "
43,government+policy,2014-01-21,Leaving single market and customs union is incompatible with ensuring no borders," Outgoing German finance chief says central bank policies risk forming ‘new bubbles’
            "
44,government+policy,2014-01-21,Bitcoin: French economist predicts day of reckoning," Firms setting up in Ireland know under what laws they will operate
            "
45,Economic growth,2014-01-21,IMF raises global growth forecast for first time in nearly two years," Despite upbeat forecast, economics body warns spectre of deflation could derail recovery   
            "
46,Economic growth,2014-01-21,"Davos dilemma: how to help, not harm, world’s fragile recovery"," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
47,Exchange rates,2014-01-21,IMF raises global growth forecast for first time in nearly two years," Despite upbeat forecast, economics body warns spectre of deflation could derail recovery   
            "
48,Interest rates,2014-01-21,IMF raises global growth forecast for first time in nearly two years," Despite upbeat forecast, economics body warns spectre of deflation could derail recovery   
            "
49,Interest rates,2014-01-21,"Davos dilemma: how to help, not harm, world’s fragile recovery"," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
50,Inflation rates,2014-01-21,IMF raises global growth forecast for first time in nearly two years," Despite upbeat forecast, economics body warns spectre of deflation could derail recovery   
            "
51,Inflation rates,2014-01-21,"Davos dilemma: how to help, not harm, world’s fragile recovery"," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
52,Unemployment rates,2014-01-21,"Davos dilemma: how to help, not harm, world’s fragile recovery"," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
53,Population+growth+rate,2014-01-21,"Davos dilemma: how to help, not harm, world’s fragile recovery"," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
54,government+policy,2014-01-22,Philip Lane: From star pupil to ECB hopeful with Nobel potential," Democracies have to recognise their failures to counter a China that sees itself as an ideological rival
            "
55,government+policy,2014-01-22,Greece to receive better repayment terms for bailout loans," Eurogroup chief says governments need to use economic growth to create ‘fiscal space’
            "
56,Economic growth,2014-01-22,‘Politicians biggest hurdle facing global economy’ - Denis O’Brien ," Telecoms entrepreneur among 80 billionaires attending Davos summit   
            "
57,Interest rates,2014-01-22,‘Politicians biggest hurdle facing global economy’ - Denis O’Brien ," Telecoms entrepreneur among 80 billionaires attending Davos summit   
            "
58,Interest rates,2014-01-22,"Bernanke saved the day, but unresolved questions remain about central banking"," Knowledge of economic history helped Bernanke halt a terrifying panic, but he also made mistakes   
            "
59,Inflation rates,2014-01-22,"Bernanke saved the day, but unresolved questions remain about central banking"," Knowledge of economic history helped Bernanke halt a terrifying panic, but he also made mistakes   
            "
60,Economic growth,2014-01-23,Huge demand for record Spanish €10 billion bond sale ,"    Demand for yesterday’s debt pushes yield on Spanish 10-year bonds below 3.7% 
            "
61,Research+development,2014-01-23,Huge demand for record Spanish €10 billion bond sale ,"    Demand for yesterday’s debt pushes yield on Spanish 10-year bonds below 3.7% 
            "
62,government+policy,2014-01-24,House prices forecast to rise by 10% in 2018," Cryptocurrency facilitates crime and is part of ‘libertarian offensive’ – Jean-Michel Naulot
            "
63,government+policy,2014-01-24,Ireland to sell bonds as market digests Italian vote," Its system needs to move from corruption to honesty, opacity to transparency, discretion to predictability, and from looking after the privileged to serving the people.
            "
64,Political+stability,2014-01-24,China’s new securities regulator expected to focus on  change," Country ranked fourth in the world after Denmark, New Zealand and Norway   
            "
65,Economic growth,2014-01-24,Spanish people have paid  high price to save country’s  banks," Financial institutions face uphill battle to restore public confidence as country exits bailout    
            "
66,Interest rates,2014-01-24,U-turn over Bank of England’s key policy," Flagship policy linking interest rates to unemployment will be set aside   
            "
67,Interest rates,2014-01-24,Bundesbank backed move to burn Irish bondholders," ECB thwarted German support for Irish effort    
            "
68,Unemployment rates,2014-01-24,U-turn over Bank of England’s key policy," Flagship policy linking interest rates to unemployment will be set aside   
            "
69,government+policy,2014-01-25,Fresh sell-off in Italian debt ends day-long calm," John FitzGerald: Deal struck on Friday is ambiguous to cover fact that UK’s future course is undecided
                    "
70,Political+stability,2014-01-25,Martin Wolf: What China does next is of utmost importance," Authorities stop circuit-breaker mechanism after it fails to stop slumps   
            "
71,Economic growth,2014-01-25,Draghi favours quick break in link between sovereign and bank debt,"     Leaders have taken  euro out of crisis despite  end-of-the-world scenarios, says  Schäuble 
            "
72,Economic growth,2014-01-25,Cantillon: Department of Finance turns to students for ideas," And the prize for the winning idea? An internship with the Department   
            "
73,government+policy,2014-01-28,Euro must be made more robust to rival the dollar," The Central Bank governor could finally secure an ECB executive board seat for Ireland
                    "
74,government+policy,2014-01-28,Markets hit as Carlo Cottarelli named as Italy’s new prime minister," Euro-area finance ministers agree to disburse €6.7 billion in aid starting in February
            "
75,Economic growth,2014-01-28,Leaner times may lie ahead for second-largest  economy," Slower but more sustainable investment growth for China in 2014 as policy-makers focus on  domestic consumption   
            "
76,Research+development,2014-01-28,Leaner times may lie ahead for second-largest  economy," Slower but more sustainable investment growth for China in 2014 as policy-makers focus on  domestic consumption   
            "
77,government+policy,2014-01-29,New bond issue will push Spanish government debt up to 100% of GDP," Friends First economist Jim Power sees no sign of slowdown in property market
            "
78,government+policy,2014-01-29,Coastal living should be at your own risk," NTMA planning to sell €1 billion of bonds on Thursday
            "
79,Economic growth,2014-01-29,US Fed cuts $10bn more from stimulus programme," Losses in US stocks deep after  announcement, while US government debt prices rise
            "
80,Economic growth,2014-01-29,US Federal Reserve poised for $10 billion taper ," Ben Bernanke to chair last meeting before Janet Yellen takes over   
            "
81,Economic growth,2014-01-29,Central Bank predicts 2.1% growth in economy in 2014," More work to be done to improve fiscal consolidation, report warns   
            "
82,Economic growth,2014-01-29,Emerging markets slump despite Turkey and South Africa rate hikes ," Developing countries under pressure to follow suit to prevent investors exiting   
            "
83,Economic growth,2014-01-29,Lagarde praises State’s changes to bankruptcy laws," IMF managing director says legislation ‘a good example of what can be done’   
            "
84,Economic growth,2014-01-29,Cable’s reservations about economic recovery echoed by unions," Minister’s remarks at odds with Cameron’s welcome for strong growth   
            "
85,Exchange rates,2014-01-29,Emerging markets target inflation risk,"   India’s central bank surprises market watchers by raising interest rate  
            "
86,Interest rates,2014-01-29,US Fed cuts $10bn more from stimulus programme," Losses in US stocks deep after  announcement, while US government debt prices rise
            "
87,Interest rates,2014-01-29,US Federal Reserve poised for $10 billion taper ," Ben Bernanke to chair last meeting before Janet Yellen takes over   
            "
88,Interest rates,2014-01-29,Emerging markets slump despite Turkey and South Africa rate hikes ," Developing countries under pressure to follow suit to prevent investors exiting   
            "
89,Interest rates,2014-01-29,Cable’s reservations about economic recovery echoed by unions," Minister’s remarks at odds with Cameron’s welcome for strong growth   
            "
90,Interest rates,2014-01-29,Emerging markets target inflation risk,"   India’s central bank surprises market watchers by raising interest rate  
            "
91,Inflation rates,2014-01-29,US Fed cuts $10bn more from stimulus programme," Losses in US stocks deep after  announcement, while US government debt prices rise
            "
92,Inflation rates,2014-01-29,Cable’s reservations about economic recovery echoed by unions," Minister’s remarks at odds with Cameron’s welcome for strong growth   
            "
93,Inflation rates,2014-01-29,Emerging markets target inflation risk,"   India’s central bank surprises market watchers by raising interest rate  
            "
94,Unemployment rates,2014-01-29,US Fed cuts $10bn more from stimulus programme," Losses in US stocks deep after  announcement, while US government debt prices rise
            "
95,Unemployment rates,2014-01-29,US Federal Reserve poised for $10 billion taper ," Ben Bernanke to chair last meeting before Janet Yellen takes over   
            "
96,government+policy,2014-01-30,High mobility of capital and technology means prospects of economy are unclear," Yields on 10-year Italian debt rise to their highest level since March 2017
            "
97,foreign+trade+policy,2014-01-30,How China can avoid a trade war with the US," French president wants to turn the euro zone into a more integrated body
            "
98,Economic growth,2014-01-30,Fed tapers monthly asset purchase by $10bn amid foreign currency volatility,"   US central bank expects continued strong growth as Ben Bernanke steps down 
            "
99,Interest rates,2014-01-30,Fed tapers monthly asset purchase by $10bn amid foreign currency volatility,"   US central bank expects continued strong growth as Ben Bernanke steps down 
            "
100,Inflation rates,2014-01-30,Fed tapers monthly asset purchase by $10bn amid foreign currency volatility,"   US central bank expects continued strong growth as Ben Bernanke steps down 
            "
101,Unemployment rates,2014-01-30,Fed tapers monthly asset purchase by $10bn amid foreign currency volatility,"   US central bank expects continued strong growth as Ben Bernanke steps down 
            "
102,Exchange rates,2014-01-31,Relying on the kindness of strangers is risky business," We need to be on our guard against  external shocks   
            "
103,Interest rates,2014-01-31,Euro zone inflation falls unexpectedly in January," Sharp fall in energy costs leads to inflation falling to 0.7 per cent in first month of the year   
            "
104,Interest rates,2014-01-31,Relying on the kindness of strangers is risky business," We need to be on our guard against  external shocks   
            "
105,Inflation rates,2014-01-31,Euro zone inflation falls unexpectedly in January," Sharp fall in energy costs leads to inflation falling to 0.7 per cent in first month of the year   
            "
106,government+policy,2014-02-06,"Davos dilemma: how to help, not harm, world’s fragile recovery"," Wolfgang Münchau: It was not designed as a geopolitical instrument
            "
107,government+policy,2014-02-06,Diverging paths of central banks made clear by ECB leaving door ajar on easing," Former IMF official to run technocratic government after collapse of populist coalition
            "
108,Economic growth,2014-02-06,US jobless claims fall as weak exports push up trade deficit," Latest numbers from US provide to labour market outlook and broader economy   
            "
109,Economic growth,2014-02-06,Bank of England holds fire ahead of guidance revamp," Markets are pricing in at least some chance of a rate hike late this year   
            "
110,Economic growth,2014-02-06,Draghi vows to take action if outlook for inflation worsens ," ECB chief was speaking after Frankfurt left its key lending rate unchanged at 0.25%   
            "
111,Exchange rates,2014-02-06,Draghi vows to take action if outlook for inflation worsens ," ECB chief was speaking after Frankfurt left its key lending rate unchanged at 0.25%   
            "
112,Interest rates,2014-02-06,Bank of England holds fire ahead of guidance revamp," Markets are pricing in at least some chance of a rate hike late this year   
            "
113,Interest rates,2014-02-06,Draghi vows to take action if outlook for inflation worsens ," ECB chief was speaking after Frankfurt left its key lending rate unchanged at 0.25%   
            "
114,Inflation rates,2014-02-06,Bank of England holds fire ahead of guidance revamp," Markets are pricing in at least some chance of a rate hike late this year   
            "
115,Inflation rates,2014-02-06,Draghi vows to take action if outlook for inflation worsens ," ECB chief was speaking after Frankfurt left its key lending rate unchanged at 0.25%   
            "
116,Unemployment rates,2014-02-06,Bank of England holds fire ahead of guidance revamp," Markets are pricing in at least some chance of a rate hike late this year   
            "
117,weather,2014-02-06,US jobless claims fall as weak exports push up trade deficit," Latest numbers from US provide to labour market outlook and broader economy   
            "
118,Economic growth,2014-02-07,UK manufacturing data for December indicates steady growth in 2014," Output rose 0.3 per cent from November, dampening hopes for ‘runaway’ growth   
            "
119,Interest rates,2014-02-07,US employment fails to rebound strongly from winter chill," Loss of momentum seen in  economy, but unemployment rate hits five-year low   
            "
120,Unemployment rates,2014-02-07,US employment fails to rebound strongly from winter chill," Loss of momentum seen in  economy, but unemployment rate hits five-year low   
            "
121,Population+growth+rate,2014-02-07,US employment fails to rebound strongly from winter chill," Loss of momentum seen in  economy, but unemployment rate hits five-year low   
            "
122,weather,2014-02-07,US employment fails to rebound strongly from winter chill," Loss of momentum seen in  economy, but unemployment rate hits five-year low   
            "
123,government+policy,2014-02-11,"Bernanke saved the day, but unresolved questions remain about central banking"," Total debt issued will rise to €242.4bn this year, but interest paid on bonds has fallen    
            "
124,government+policy,2014-02-11,IMF raises global growth forecast for first time in nearly two years," The Earth’s topography has changed as a result of earthquakes, tectonic shifts and the deposit of sediment   
            "
125,Political+stability,2014-02-11,Panama Papers: The secret offshore world of the elite," Turbulence in emerging economies such as China will be felt around the world   
            "
126,Economic growth,2014-02-11,New Fed chief says US will continue to reduce stimulus," Yellen says US central bank will keep close eye on labour market indicators 
            "
127,Interest rates,2014-02-11,New Fed chief says US will continue to reduce stimulus," Yellen says US central bank will keep close eye on labour market indicators 
            "
128,Inflation rates,2014-02-11,New Fed chief says US will continue to reduce stimulus," Yellen says US central bank will keep close eye on labour market indicators 
            "
129,Unemployment rates,2014-02-11,New Fed chief says US will continue to reduce stimulus," Yellen says US central bank will keep close eye on labour market indicators 
            "
130,Economic growth,2014-02-12,Yellen snubs pleas from emerging nations in remarks to US Congress," Shows no sympathy for complaints Fed failed to co-ordinate  policy with other countries   
            "
131,Interest rates,2014-02-12,Yellen snubs pleas from emerging nations in remarks to US Congress," Shows no sympathy for complaints Fed failed to co-ordinate  policy with other countries   
            "
132,Unemployment rates,2014-02-12,Yellen snubs pleas from emerging nations in remarks to US Congress," Shows no sympathy for complaints Fed failed to co-ordinate  policy with other countries   
            "
133,age+distribution,2014-02-12,Enslave the robots and free the poor," The prospect of far better lives depends on how the gains are produced and distributed    
            "
134,Interest rates,2014-02-17,Don't be scared of the German constitutional court," Business Opinion: if the German constitutional court says Mario Draghi’s feet are made of clay,  all hell may break loose   
            "
135,government+policy,2014-02-18,U-turn over Bank of England’s key policy," Euro drops to lowest level in a year against pound following Draghi’s remarks   
            "
136,government+policy,2014-02-18,European Commission scraps renewable energy targets," Opinion: In the short term there is a prospect of a spurt of growth but attention needs to be paid to sowing the seeds of long-term prosperity   
            "
137,Economic growth,2014-02-18,Sterling falls as inflation dips below targets," UK inflation has dropped below the Bank of England’s target for the first time in over four years   
            "
138,Interest rates,2014-02-18,Sterling falls as inflation dips below targets," UK inflation has dropped below the Bank of England’s target for the first time in over four years   
            "
139,Inflation rates,2014-02-18,Sterling falls as inflation dips below targets," UK inflation has dropped below the Bank of England’s target for the first time in over four years   
            "
140,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
141,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
142,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
143,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
144,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
145,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
146,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
147,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
148,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
149,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
150,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
151,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
152,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
153,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
154,level+of+innovation,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
155,Economic growth,2014-02-19,"Wind energy investment could lead to 35,000 new jobs"," Study suggests  Ireland would need to exceed current   wind energy generation targets   
            "
156,Interest rates,2014-02-19,UK jobless rate shows surprise increase ," Unemployment rises to 7.2 per cent from 7.1 per cent in November   
            "
157,Inflation rates,2014-02-19,UK jobless rate shows surprise increase ," Unemployment rises to 7.2 per cent from 7.1 per cent in November   
            "
158,Unemployment rates,2014-02-19,UK jobless rate shows surprise increase ," Unemployment rises to 7.2 per cent from 7.1 per cent in November   
            "
159,Interest rates,2014-02-20,Annual inflation remains steady at 0.2 per cent ," Increases in education, alcohol and tobacco costs over the year   
            "
160,Interest rates,2014-02-20,Federal Reserve had few doubts about slowing asset purchases," Tapering set to continue in absence of big shift in US economy   
            "
161,Inflation rates,2014-02-20,Annual inflation remains steady at 0.2 per cent ," Increases in education, alcohol and tobacco costs over the year   
            "
162,Unemployment rates,2014-02-20,Federal Reserve had few doubts about slowing asset purchases," Tapering set to continue in absence of big shift in US economy   
            "
163,weather,2014-02-20,US jobless claims fell last week," New data points to improving labour market conditions, despite two months of weak hiring   
            "
164,weather,2014-02-20,Federal Reserve had few doubts about slowing asset purchases," Tapering set to continue in absence of big shift in US economy   
            "
165,Economic growth,2014-02-21,US existing home sales slump to 18-month low," Combination of cold weather and a lack of housing stock sidelined potential buyers   
            "
166,Economic growth,2014-02-21,Forget the rules of investing – and pay a heavy price," The sense in which equities are a “sure thing” is a very slippery concept   
            "
167,Interest rates,2014-02-21,Records show Fed on edge during darkest days of 2008 crisis," Policymakers  worried over failure of Lehman Bros   but feared cutting rates might  be over-reaction   
            "
168,Inflation rates,2014-02-21,Records show Fed on edge during darkest days of 2008 crisis," Policymakers  worried over failure of Lehman Bros   but feared cutting rates might  be over-reaction   
            "
169,weather,2014-02-21,US existing home sales slump to 18-month low," Combination of cold weather and a lack of housing stock sidelined potential buyers   
            "
170,Economic growth,2014-02-22,G20 support builds to adopt ambitious target for global growth," Growth to come through structural reforms, which may be unpopular   
            "
171,Interest rates,2014-02-24,Euro zone inflation falls in January," Annual rate stuck at 0.8 per cent for second month in a row   
            "
172,Inflation rates,2014-02-24,Euro zone inflation falls in January," Annual rate stuck at 0.8 per cent for second month in a row   
            "
173,Economic growth,2014-02-25,US consumers lose confidence as economic fears weigh," Consumer confidence falls in February amidst concerns about the US economy’s direction but house prices continue to rise, with data showing prices in 20 US cities are on the advance   
            "
174,Economic growth,2014-02-25,Europe forecasts lower growth rate for Ireland in 2014," Commission’s forecast of 1.8% GDP growth  is lower than rate cited by Minister for Finance Michael Noonan last week as being a trigger for income tax cuts
            "
175,weather,2014-02-25,US consumers lose confidence as economic fears weigh," Consumer confidence falls in February amidst concerns about the US economy’s direction but house prices continue to rise, with data showing prices in 20 US cities are on the advance   
            "
176,government+policy,2014-02-26,Full transcript of Weidmann interview," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
177,Economic growth,2014-02-26,UK economy expands 0.7 per cent in fourth quarter ," Business investment and trade help drive Britain’s recovery   
            "
178,Economic growth,2014-02-26,Long-term unemployment a bigger problem than emigration," Opinion: Irish policy-makers are late coming to the realisation that labour activation policies are vital   
            "
179,Unemployment rates,2014-02-26,Long-term unemployment a bigger problem than emigration," Opinion: Irish policy-makers are late coming to the realisation that labour activation policies are vital   
            "
180,Population+growth+rate,2014-02-26,Long-term unemployment a bigger problem than emigration," Opinion: Irish policy-makers are late coming to the realisation that labour activation policies are vital   
            "
181,Research+development,2014-02-26,Long-term unemployment a bigger problem than emigration," Opinion: Irish policy-makers are late coming to the realisation that labour activation policies are vital   
            "
182,Interest rates,2014-02-27,German unemployment hits 17-month low ," Numbers out of work fell 14,000 in February to 2.914 million   
            "
183,Inflation rates,2014-02-27,German unemployment hits 17-month low ," Numbers out of work fell 14,000 in February to 2.914 million   
            "
184,Unemployment rates,2014-02-27,German unemployment hits 17-month low ," Numbers out of work fell 14,000 in February to 2.914 million   
            "
185,government+policy,2014-02-28,Cantillon: Department of Finance turns to students for ideas," Despite upbeat forecast, economics body warns spectre of deflation could derail recovery   
            "
186,Economic growth,2014-02-28,German retail sales rise at fastest rate in seven years," Hopes rise that consumer spending will support economic growth    
            "
187,Economic growth,2014-02-28,American Chamber calls for greater urgency in EU-US trade partnership," Louise Phelan says deal will  help create hundreds of thousands of jobs   
            "
188,weather,2014-02-28,German retail sales rise at fastest rate in seven years," Hopes rise that consumer spending will support economic growth    
            "
189,government+policy,2014-03-06,Ireland urged to play ‘hardball’ to get a deal on legacy bank debt," New climate change package could undermine Government’s rationale for pylons   
            "
190,government+policy,2014-03-06,Leaner times may lie ahead for second-largest  economy," Knowledge of economic history helped Bernanke halt a terrifying panic, but he also made mistakes   
            "
191,Economic growth,2014-03-06,Greek unemployment dips but hovers near record highs ," Labour market shows few signs of respite despite indications  of economic recovery elsewhere   
            "
192,Economic growth,2014-03-06,Bank of England keeps  borrowing costs at record low," Britain marks five year anniversary of historic low interest rates   
            "
193,Economic growth,2014-03-06,UK house prices see ‘fastest growth in five years’ ," But Halifax surveys conflicts with data last week that indicated house prices were slowing    
            "
194,Interest rates,2014-03-06,Bank of England keeps  borrowing costs at record low," Britain marks five year anniversary of historic low interest rates   
            "
195,Interest rates,2014-03-06,"ECB rate change unwarranted, says Draghi"," Hundreds of thousands of Irish mortgage holders left disappointed by Frankfurt’s decision    
            "
196,Interest rates,2014-03-06,UK house prices see ‘fastest growth in five years’ ," But Halifax surveys conflicts with data last week that indicated house prices were slowing    
            "
197,Inflation rates,2014-03-06,Bank of England keeps  borrowing costs at record low," Britain marks five year anniversary of historic low interest rates   
            "
198,Inflation rates,2014-03-06,"ECB rate change unwarranted, says Draghi"," Hundreds of thousands of Irish mortgage holders left disappointed by Frankfurt’s decision    
            "
199,Inflation rates,2014-03-06,UK house prices see ‘fastest growth in five years’ ," But Halifax surveys conflicts with data last week that indicated house prices were slowing    
            "
200,Unemployment rates,2014-03-06,Bank of England keeps  borrowing costs at record low," Britain marks five year anniversary of historic low interest rates   
            "
201,Unemployment rates,2014-03-06,UK house prices see ‘fastest growth in five years’ ," But Halifax surveys conflicts with data last week that indicated house prices were slowing    
            "
202,weather,2014-03-06,Bank of England keeps  borrowing costs at record low," Britain marks five year anniversary of historic low interest rates   
            "
203,government+policy,2014-03-07,Italian debt in demand amid emerging market turmoil," And the prize for the winning idea? An internship with the Department   
            "
