News_ID,CompanyName_News,Date_News,Headline_News,Description_News
34,ABBEY,2018-03-24,Plans for Limerick to hit new heights," The city’s visitors will have three more towers to look at if planning permission is secured
"
35,ABBEY,2018-02-17,Gabriel Byrne on Weinstein: ‘He was a violent bully. He had such power’," The Dublin actor on sex harrassent, and why fame is like being trapped in a drum
"
36,ABBEY,2018-02-06,Dublin market has volatile day influenced by wild trading in US," Just five Dublin-listed shares finish the session in positive territory
"
37,ABBEY,2018-02-06,Dublin stock market staunches sell-off as US rally soothes meltdown fears," European bourses begin to bounce back but volatility remains
"
38,ABBEY,2018-02-06,Stocks crumble in vicious sell-off as ‘goldilocks’ trade unravels," Asian stocks follow Wall Street lower as Nikkei dives 6.8%
"
39,ABBEY,2018-01-22,Game of Thobes: how an Arab family feud has thrust Qatar into the fight of its life," Three duelling, headstrong royals at the centre of a dispute that threatens to escalate
"
40,ABBEY,2018-01-20,Big Irish Times Christmas Quiz 2017: The solutions," All the solutions to The Big Irish Times Christmas Quiz 2017, plus the winners
"
41,ABBEY,2017-12-07,"Christmas pantos, musicals, concerts and festivals"," A round-up of events for families and children during the festive season
"
42,ABBEY,2017-11-18,Twixmas break: Things to do between Christmas and New Year," Joan Scales finds some of the best deals around the country for a quick festive getaway
"
43,ABBEY,2017-11-17,"Glenveagh to develop 1,300 houses after buying 11 sites"," Company has invested approximately €83m in cash on the acquisition of sites
"
44,ABBEY,2017-10-30,"The women’s bodies lay on the floor, empty carbolic bottles beside them"," Karl O’Neill on the real-life tragedy of a murder and suicide that inspired his play
"
45,ABBEY,2017-10-28,Gin and tonic,
46,ABBEY,2017-10-20,Whatever happened to the humble gin and tonic?," G&Ts have had a ‘experiential’ makeover, which comes at a price. Is it worth it?
"
47,ABBEY,2017-10-14,Life on the Luas: a tale of two tracks," We travel Dublin’s Red and Green Lines to learn about the different worlds they travel through
"
48,ABBEY,2017-09-05,Katie Roche: Ambitions of greatness for a woman in search of character," In 1930s rural Ireland, Katie Roche is a young woman with notions. In 2017, this revival of Teresa Deevy’s neglected classic has clearer aims
"
49,ABBEY,2017-08-19,Last of the summer time: 20 things to do before the holidays end," We’ve rounded up 20 ways to keep that holiday feeling as long as possible
"
50,ABBEY,2017-07-31,PTSB shares lose 2.4% amid negative commentary," Strong results from heavyweight bank HSBC help British blue-chips retain gains
"
51,ABBEY,2017-07-22,"Going coastal: 50 of the best places to eat, stay and play along Ireland’s coastline"," A nation of islanders, we can’t resist the lure of the sea. To satisfy those cravings we’ve put together a list of great seaside activities and lovely places to eat and sleep
"
52,ABBEY,2017-06-02,Housebuilder Abbey flags ‘moderate’ decline in sales ,Operating profits to be ‘in the region of’ last year’s result
53,ABBEY,2017-05-24,Live like a king in the Royal county," Meathattracts buyerspriced out of Dublin but stock and broadband remain issues
"
54,ABBEY,2017-05-01,The other Haughey: lavish lifestyle of an Irish lord," Contents of Dr Edward Haughey’s ‘Downton Abbey’ home for sale
"
55,ABBEY,2017-04-13,In search of the elusive Good Friday pint," A 90-year law bans alcohol sales but there are exemptions beyond the illegal lock-in
"
56,ABBEY,2017-03-18,The 100 best places to eat in Ireland in 2017," From fish-finger sandwiches to fine dining, we recommend the restaurants and cafes serving the best food in the country
"
57,ABBEY,2017-03-18,Obituary: Michael Maher," Celebrated Tipperary hurler who became accomplished GAA administrator
"
58,ABBEY,2017-03-16,"Gigs, shows and going out: here’s our seven day event guide"," The only gig guide you’ll need for St Patrick’s weekend and beyond
"
59,ABBEY,2017-03-11,What’s your county’s claim to fame?," A cure forleprosy? The Connemarathon? The home of Botox, or Viagra? Birthplace of the MGM lion? Whateverits claim to fame, know your county’sbragging rights 
"
60,ABBEY,2017-02-07,Fight brewing in Foxrock  over high-density developments," Infill schemes along a stretch of Dublin’sN11face planning hurdles and local opposition
"
61,ABBEY,2017-02-02,Who's that lady? The extraordinary life of the Marchioness of Dufferin," It takes great reserves of chutzpah to live in a place like Clandeboye but Lady Dufferin is not lacking
"
62,ABBEY,2017-01-20,Gallagher family’s stake in housebuilder Abbey tops 81% ," Gallaghers launched takeover bid for Abbey in 2012 as shareholding breached 50% 
"
63,ABBEY,2017-01-13,BT Young Scientist exhibition: Category winners," All the winners in each sectionof2016 BT Young Scientist and Technology Exhibition 
"
64,ABBEY,2017-01-12,Chelsea given permission to expand Stamford Bridge," The West London club are hoping to increase the ground’s capacity to 60,000 by 2021
"
65,ABBEY,2016-11-24,Slight rise in European shares while Iseq edges up .65%," BoI and housebuilder Abbey rise on back of Central Bank move on mortgage lending
"
66,ABBEY,2016-10-15,Modern Ireland in 100 Artworks: Irish road to modernity has no straight lines," The collective works in our series show how molten and defiant Irish artworks can be 
"
67,ABBEY,2016-10-02,Brian Friel one year on: A critical overview," Long read: Reading Ireland founder Adrienne Leavy assesses the legacy of the great Irish playwright who died a year ago today. Photographs by Bobbie Hanvey 
"
68,ABBEY,2016-07-16,Salvage style: How to furnish your home from a scrapyard," From floorboards to fireplaces, sinks to sofas, salvage yards offer all you need to furnish a home. Here are six of the best 
"
69,ABBEY,2016-07-12,European shares rise for fourth straight session," Bank of Ireland, Ryanair and housebuilder Abbey among the top gainers in Dublin
"
70,ABBEY,2016-06-16,Shopping spraoi: Nenagh," Tractors, tarts and GAA paraphernalia are just some of the varied offerings
"
71,ABBEY,2016-06-01,10 things you might not know about Irish pubs," From 24-hour opening to corpses, dog shows and the oldest graffiti 
"
72,ABBEY,2016-04-20,New website details Easter Rising compensation claims," Jack B YeatsandHanna Sheehy-Skeffington among those who sought monetary relief
"
73,ABBEY,2016-04-15,‘Kleptocracy Tour’ highlights UK’s role in global corruption ," Bus tour visits London properties owned by dubious foreign oligarchs and officials
"
74,ABBEY,2016-03-09,Nine men followed the signatories to the execution yard ," Some of the men executed were almost peripheral to the Rising
"
75,ABBEY,2016-02-13,Object Matters: There is more to Irish design than jobs and exports," TheYear of Irish Design celebrated collaboration and gave good return on investment, but its long-term impact is hard to quantify
"
76,ABBEY,2016-01-17,TV preview: Seven things to watch on television this week," From the stories of the unsung heroes of 1916 to the new wave of extremists radicalising young British Muslims, here are seven programmes worth catching this week
"
77,ABBEY,2015-12-24,"Culinaria: Blue cheese, please","Keep the Christmas cheese board simple
"
78,ABBEY,2015-11-06,Thomas Merton: from wayward youth to man of God," John Cooney traces the unlikely journey ofthe poet and spiritual writer, born of bohemian parents, who fathered a child as a Cambridge student before becoming a monk
"
79,ABBEY,2015-10-19,Lucy Kellaway: My new rule of competition begins with a war on ‘talent’," How about using honest, honourable terms for the people who work for your company?
"
80,ABBEY,2015-10-15,"Stock and prices improving, but have buyers been squeezed out?"," Last year the market was preoccupied by a lack of suitable family homes. Now, Central Bank lending rules and market forces have restored a normal flow of stock, but are prices beyond the reach of the average ‘trader upper’? 
"
81,ABBEY,2015-09-18,"Miriam Lord: Thomas Kent, proud patriot, home at last"," 1916 centenary beckons: ‘They really couldn’t ignore the last man shot outside Dublin’
"
82,ABBEY,2015-06-06,Eyeballs and pigs’ heads anyone?," Lords & Ladles is a newcookery show where Irish chefs recreate what it was like to prepare food in a 17th century big house
"
83,ABBEY,2015-05-21,Fears over Greek repayment  prompt  euro fall ," Comments from ECB that it might soon be bond-buying causes market jump 
"
84,ABBEY,2015-04-26,"An Easter Rising timeline: Wednesday, April 26th, 1916"," The fourth in a daily series of reportage-style pieces by the authors of When The Clock Struck in 1916 – Close-Quarter Combat in the Easter Rising
"
85,ABBEY,2015-04-23,"Shakespeare, Dickens, Wren, Austen, Hardy, Turner:  in praise of ... the English"," Eileen Battersby marks St George’s Day with a kaleidoscopic celebration of our noisy neighbour’s contribution to world culture 
"
86,ABBEY,2015-04-18,Sweet smell of success for Richard E Grant’s perfumes," We all love Richard E Grant in his classic role ofthe acerbic, alcoholic, unemployed actor Withnail. Now the Swaziland-born movie star has reinvented himself as a hit perfumer– without giving up the day job
"
87,ABBEY,2015-04-04,"Shoptalk: Ennis, Co Clare"," Are you being served? The column that looks at stock, style and service in Irish shops
"
88,ABBEY,2015-02-28,Shoptalk: bespoke personalised service ," Are you being served? The column that looks at stock, style and service in shops around Ireland 
"
89,ABBEY,2015-02-14,Sunday at the Dublin Flea Market," The monthly market is where one person’s unwanted junk is another’s treasure.And you never know who you’ll meet there, on either side of the 60 stalls
"
90,ABBEY,2015-01-30,"Friday Interview: Peter Scott, managing director of Carphone Warehouse Ireland"," Marks & Spencer and Ann Summers were an unlikely route tobecoming a telecoms MD 
"
91,ABBEY,2015-01-03,Don’t be afraid to dig deep in the garden this year," Forget turning over a new leaf, be brave and turn over a completely new garden 
"
92,ABBEY,2014-12-11,Literary Twitterati: confusing emojis and trolls," Our weekly round-up of tweets from the book world
"
93,ABBEY,2014-10-04,European stocks rebound on good news from US,"US jobless rate fell in September to 5.9 per cent, the lowest level since July 2008 
"
94,ABBEY,2014-08-16,Cataloguing the Irish ‘Big House’," Auction catalogues for house contents sales rise in value and are now collectable
"
95,ABBEY,2014-08-02,20 locations for the perfect picnic," Not only does food taste better outdoors but it tastes better when you eat with your fingers 
"
96,ABBEY,2014-07-01,National Gallery tops list of most-visited free attraction," Museum of Style Icons in Kildare is new entry on free desinations in Ireland list
"
97,ABBEY,2014-06-03,Epsom ground seems to be coming right for Australia," Ballydoyle trainer Aidan O’Brien bids for an historic Derby hat-trick this Saturday
"
98,ABBEY,2014-05-05,Weekend in ... Cannes," The glamorous, star-friendly town is always ready for its close-up 
"
99,ABBEY,2014-04-24,And all thy charms withdrawn," An Irishman’s Diary about historic Limerick
"
100,ABBEY,2014-04-14,Record shops: vinyl countdown  or the start of a new groove?," Ahead of Record Store Day on Saturday, one Dublin shop is preparing to close and another is opening in Belfast. What does the future hold for bricks-and-mortar outlets? 
"
101,ABBEY,2014-03-07,The Stag: they’re going on a beer hunt," It’s being billed as Ireland’s answer to The Hangover and it gives Andrew Scott the chance to exercise his comic chops after his turn as everyone’s favourite baddie in BBC’s smash hit Sherlock
"
102,ABBEY,2014-02-01,Maverick Ming and a tilt at Europe ,Is Flanagan about to throw his hat in the ring? We hear he’s been testing the waters
103,ABBEY,2013-11-01,"History of the Rising, in our own words "," A project at Trinity College Dublin invites people to share family stories and documents and help put ordinary faces on the tumult of the early 20th century
"
104,ABBEY,2013-09-28,Television: Straight from the big craic handbook of cliches," ‘London Irish’ and ‘Damo & Ivor’ scraped the barrel of laughs – but ‘The IT Crowd’ finale rebooted the genre
"
105,ABBEY,2013-09-16,15 ways to improve Irish tourism," Irish tourism needs a new direction. We asked tourists and talkers their opinion - we want you to join in. Comment belowon whether we should have more food markets, all-night museums and or just sell walks in the rain
"
106,ABBEY,2013-09-14,After the Gathering . . . What’s next?," Minister for Tourism Leo Varadkar is seeking suggestions for new tourism initiatives. Some entrepreneurs believe living history should be the next big thing 
"
107,ABBEY,2013-08-31,Humble artist possessed of candid  and hauntingly lyrical epic vision," Loss of this poet will be felt throughout Ireland and far beyond
"
108,ABBEY,2013-07-13,Cantillon: What a difference a year can make in a share price," Shares in housebuilder Abbey holding up well
"
109,ABBEY,2013-05-10,Dancing from Down Under to  Dublin   ," The Dublin Dance Festival returns next week with adistinctly Australian flavour
"
110,ABBEY,2013-04-06,A multitalented actor with star quality   ," Milo O’Shea:1926-2013
"
111,ABBEY,2013-04-04,Can clutter become cash?   ," Well, yes, if you go about it the right way. But, be warned, it takes real effort to turn household goods into money
"
112,AIB,2019-09-27,European shares finish week lower for first time in six weeks," Index heavyweights help Iseq to 1.25 per cent rise
"
113,AIB,2019-09-25,European shares finish at two-week low but shave losses late on," Markets report: Ryanair one of only gainers as Iseq closes lower with most stocks in red
"
114,AIB,2019-09-24,Eight things you need to know about your tax form for 2018," With the tax return deadline approaching it’s time to get on the case
"
115,AIB,2019-09-23,European shares fall on poor figures from France and Germany," Mixed signals from US-China trade conflict contribute to decline
"
116,AIB,2019-09-20,Ryanair rallies as European stocks lock in fifth week of gains," Netflix takes a battering as analysts queries international subscriber growth
"
117,AIB,2019-09-19,Bank rally helps European shares higher," Iseq all-share index gained 0.55% on the day
"
118,AIB,2019-09-18,European shares tread water with Fed decision looming," Dublin closes lower with banks weak and Cairn Homes among the few to stay positive
"
119,AIB,2019-09-17,"Iseq index slips into the red, dragged down by Irish banks"," BP falls 1.4% as crude prices drop amid reports Saudi oil supply could recover in weeks
"
120,AIB,2019-09-13,`If we had defaulted how strong would EU solidarity be now?'," Friday interview: John Moran, former Department of Finance mandarin
"
121,AIB,2019-09-12,Stocks climb on ECB move and trade progress hopes," Bond yields slip back on news of fresh European Central Bank stimulus measures
"
122,AIB,2019-09-10,Shares jump as hard-Brexit fears recede in City," Markets report: C&C’s plan to list on London market sets drinks company’s stocks fizzing
"
123,AIB,2019-09-06,New homes supply begins to meet demand as price growth slows," Good news for first-time buyers but affordability is still a factor - and Brexit is the fly in the ointment
"
124,AIB,2019-09-05,Stocks hit one-month highs on news of US-China trade talks," Safe havens fall on increased risk appetite
"
125,AIB,2019-09-05,David Duffy-led CYBG’s shares plunge amid PPI scandal fallout," Lender’s shares drop to record low amid fears over its capacity to pay dividend
"
126,AIB,2019-09-04,Parliamentary moves against no-deal Brexit lift markets," European shares boosted by Brexit moves and formation of new Italian government
"
127,AIB,2019-09-02,Stocks shrug off China-US trade concerns," Markets close: Iseq rises on thin volume while US markets are closed
"
128,AIB,2019-08-30,Hopes of easing in US-China trade war push global stocks higher," Iseq ends day in positive territory, lifted by gains in building and airline stocks
"
129,AIB,2019-08-28,Brexit-sensitive stocks fall as no-deal fears grow," US investors remain wary as country’s trade war with China drags on
"
130,AIB,2019-08-22,European shares end lower in choppy session," Spanish banks rise on bullish HSBC note
"
131,AIB,2019-08-21,Bounce in European shares as investors eye Fed minutes," Iseq climbs 1.79 per cent on Kingspan and CRH share price rises
"
132,AIB,2019-08-16,German budget flexibility helps European markets," Irish banks boosted after period of underperformance
"
133,AIB,2019-08-14,European shares slide to six-month low as recession fears rise," CBOE Volatility index, also known as Wall Street’s ‘fear gauge’, rises 4.08 points
"
134,AIB,2019-08-12,Stocks decline over trade and growth concerns," In Dublin, the Iseq index closed down 0.3 per cent, with financial stocks declining again
"
135,AIB,2019-08-07,AIB may buy back €500m of State shares in 2021," Recent slump in the bank’s share price has pushed out the timeline of special buyback
"
136,AIB,2019-08-06,Former AIB CFO plans €800m Portuguese assets and loans sale," Mark Bourke took over as finance head at Novo Banco earlier this year
"
137,AIB,2019-08-05,European stocks dive to two-month lows on China worries," Shares of video-game makers down as Trump blames industry for gun violence
"
138,AIB,2019-08-01,British American Tobacco and financials lift European stocks," Glanbia still in negative territory as banks slip back, while FBD and Smurfit Kappa gain
"
139,AIB,2019-07-29,PTSB directors buy first shares since financial crisis," Shares in the bank have fallen by 75% since sale of a 25% stake on stock market in 2015
"
140,AIB,2019-07-26,European stocks rise amid record highs on Wall Street," Vodafone surge and US earnings lend support to equities in final session of week
"
141,AIB,2019-07-26,Lower ECB rates leave Irish taxpayers stuck with our banks," Euro-zone economy remains in malaise as Draghi enters twilight of his tenure
"
142,AIB,2019-07-25,"Markets fall as ECB holds off on rate cut, signalling September move"," Markets report: CRH boosted as US rivals outperform with results
"
143,AIB,2019-07-24,European stocks hold steady on stimulus hopes," Markets report: Iseq nudged slightly upwards on a day of modest gains
"
144,AIB,2019-07-22,Markets quiet as traders tread water ahead of ECB meeting," Market report: Facebook, Amazon and Google parent Alphabet set to report results
"
145,AIB,2019-07-22,Minister pours cold water on lifting of bankers’ pay cap," Further sales of State holdings in Irish banks put on hold until after Brexit
"
146,AIB,2019-07-19,European shares close off highs on Italian political woes," Irish banking shares amongst the worst performers as the Iseq drops
"
147,AIB,2019-07-18,"Poor results, profit warnings and economic fears overshadow Europe’s markets"," Ryanair shares fall as EasyJet confirms it is hiring Irish carrier’s outgoing chief operating officer, Peter Bellew
"
148,AIB,2019-07-18,"Google reveals plans to build 15,000 homes in San Francisco"," Three new communities to be delivered on global tech giant’s landholdings
"
149,AIB,2019-07-17,European shares edge lower amid trade tensions," Iseq underperforms peers with 1 per cent drop
"
150,AIB,2019-07-15,London’s week-long losing streak ends on strong Chinese growth," China figures lift European markets and ease investor concerns over global slowdown
"
151,AIB,2019-07-13,"1,100 pharmacists to hold €112m Uniphar stake on flotation"," Drugs distribution business says it has raised €135m in an IPO of shares at €1.15 each
"
152,AIB,2019-07-12,Markets sound cautious note as FTSE hits week-long losing streak," Talk of interest rate cut keeps US markets buoyant, but data from China disappoints
"
153,AIB,2019-07-11,Markets dip in Europe as US rate cut euphoria ebbs," Ryanair recovers from turbulence over executive departures and warnings on routes
"
154,AIB,2019-07-09,Institutional investors: villains or heroes of housing woes?," Cantillon: AIB and Davy positive about impact of giant investors in rental market
"
155,AIB,2019-07-09,CYBG may bow to investor ire over David Duffy bonus plan," The Irishman’s remuneration could soar to as much as €4.73m
"
156,AIB,2019-07-08,European shares dip as Deutsche Bank overhaul weighs on banks," Iseq drops 0.4%, although Permanent TSB rises 5.1 per cent to €1.32
"
157,AIB,2019-07-08,Large-scale investors: the cause or the solution to our housing woes?," Reports claim funds are not cause of high rents and may be key to unlocking supply
"
158,AIB,2019-06-28,European shares notch best first-half gain in two decades," Markets close: Dublin market end higher with the main movers including C&C, Ryanair and Flutter
"
159,AIB,2019-06-26,European stocks fall for fourth day," Markets close: Iseq bucks trend with slight rise
"
160,AIB,2019-06-25,Middle East sanctions trouble stock markets," Irish shares outperform European peers as trade jitters hit markets
"
161,AIB,2019-06-24,European stocks end strong streak after weak German data," Investors hedge bets ahead of expected US-China trade talks on sidelines of G20
"
162,AIB,2019-06-21,Ban on bank bonuses works against hunt for Brexodus jobs," Toxic legacies of crash and tracker-mortgage scandal have yet to dissipate
"
163,AIB,2019-06-20,Markets hit six-week highs on rates and trade talks optimism," Markets close: Iseq advances but financial stocks weaker
"
164,AIB,2019-06-18,Draghi stimulus hints send European stocks higher," Iseq underperforms European peers but rises almost 0.7% on the day
"
165,AIB,2019-06-17,Markets await clues from US Fed on policy direction," Markets report: Profit warning from Germany’s Lufthansa weighed on airline stocks
"
166,AIB,2019-06-13,Ires Reit raises €134.2m to help buy 815 apartments," State’s largest residential landlord has also exercised an option to extend committed credit facilities to €600m
"
167,AIB,2019-06-12,European shares drop on weak Chinese data and trade fears," Iseq drops 1.5% as CRH pulls back in line with a broad sell-off by European and US peers
"
168,AIB,2019-06-11,Investor sentiment rises on hopes of monetary stimulus," Iseq performed in line with European peers, rose 0.34%
"
169,AIB,2019-06-06,ECB rates freeze leads euro zone shares to underperform their peers," Markets report: In the UK, tobacco company Imperial Brands jumped 5.7% on its best day in more than a year
"
170,AIB,2019-06-04,Manufacturers feel the Brexit effect on both sides of Irish Sea," Activity slows as firms ease stockpiling with departure date for UK put back
"
171,AIB,2019-06-03,Healthcare sector drags European share indices back into the black," London’s Ftse 100 also bagged gains as investors flocked to defensive stocks
"
172,AIB,2019-05-30,Markets calmed as Trump offers hope of a trade deal with China," Sterling slips on concerns that the next UK prime minister may push for hard Brexit
"
173,AIB,2019-05-30,State ‘paying lipservice to blockchain’ as banks announce collaboration," Irish banking industry announces new blockchain-based education platform
"
174,AIB,2019-05-29,Shares tumble on escalating trade war tensions," House builders take Iseq hit as Brexit nerves bite
"
175,AIB,2019-05-28,European shares retreat over Italian budget concerns," Irish shares outperform peers with benchmark index rising 0.62%
"
176,AIB,2019-05-28,Qlik: leading with data to drive business performance,"The Qlik Global Analytics Tour arrives in Dublin and Belfast next month, putting a major focus on AI in data management, reporting and visualisation

"
177,AIB,2019-05-27,Stocks climb across Europe on the back of election results," Proposed merger between Fiat Chrysler and Renault also helped buoy markets
"
178,AIB,2019-05-24,European shares shrug off May’s planned exit to focus on US-China hopes," Markets report: Investors relieved as Trump indicates China trade war could end soon
"
179,AIB,2019-05-23,European shares sink on tense Thursday as trade feud continues," Economic surveys and UK political drama does little to rescue mood among investors
"
180,AIB,2019-05-22,European markets dip on fears about Brexit and trade war," C&C and Ryanair provide most movement on Iseq
"
181,AIB,2019-05-17,Global uncertainty over US-China trade war ends European rally," Ryanair advances despite Easyjet posting solid passenger growth in last six months
"
182,AIB,2019-05-03,Buoyant US jobs data helps global shares," Iseq underperformed European peers, remains flat on day of low volumes
"
183,AIB,2019-04-25,"European shares fall as large retail, banking mergers hope dashed"," Iseq dips 1% with financials among weakest performers
"
184,AIB,2019-04-24,Markets tread water on mixed economic signals," Iseq falls back as AIB and Glanbia among big hitters to issue trading updates
"
185,AIB,2019-04-19,Four ATMs stolen in raids in Meath and Antrim," Gang behind Kells thefts deploy spikes and sought to block roads in a bid to slow gardaí
"
186,AIB,2019-04-18,Kingspan strong in Dublin as long weekend approaches," CRH also solid, helped by positive data from US
"
187,AIB,2019-04-17,European shares advance amid Chinese data surprise," Iseq closes 0.8 per cent higher with Applegreen and Ryanair among main gainers
"
188,AIB,2019-04-15,European shares edge higher on trade optimism," In Dublin, Green Reit jumps after chairman announces group is up for sale
"
189,AIB,2019-04-15,Brewin Dolphin confirms exclusive talks for Investec’s Irish wealth unit," Move comes a year after AIB pulled out of talks to buy Irish unit
"
190,AIB,2019-04-12,European shares advance as JP Morgan results breathe life into banks," European Stoxx 600 finishes 0.16% ahead on the day but ends week in the red
"
191,AIB,2019-04-12,Merkel reminds May of warmth in the EU tent as Brexit is delayed," Business Week: also in the news were US tax and trade, the economy, AIB and bad loans
"
192,AIB,2019-04-12,PTSB's future remains uncertain despite an impressive recovery," The bank is back in profit, but questions remain about its future ownership
"
193,AIB,2019-04-11,Ryanair gets a lift from Brexit extension," Market report: Travel stocks gain extra mileage from deadline extension
"
194,AIB,2019-04-11,"AIB may sell more troubled loans, Tatler’s new direction and Brexit hard cheese"," Business Today: the best news, analysis and comment from The Irish Times business desk
"
195,AIB,2019-04-09,IMF growth warning and Trump rhetoric bruise global stocks," Iseq all-share index underperformed peers, falling 0.76% on the day
"
196,AIB,2019-04-08,European shares drop as banks and Boeing suppliers hit," Iseq slides as bank stocks succumb to profit taking
"
197,AIB,2019-04-05,Irish stocks at highest level since October," European shares nudge up on better-than-expected German and US data
"
198,AIB,2019-04-03,European shares gain on hopes of softer Brexit and US-China trade deal," Dublin sees strong demand for bank stocks
"
199,AIB,2019-04-02,AIB non-performing loans reduction may pave way for stake sale," Bank down to the tricky cases as it seeks to hit level seen as acceptable by regulators
"
200,AIB,2019-04-02,AIB plots final debt sale as 220 home loans tied to Cerberus deal," Bank eyes return of billions of euro of excess cash to shareholder when NPLs target met
"
201,AIB,2019-03-29,Brexit uncertainty fails to dent Irish stocks," The Iseq all-share index rose just under 1.5%, buoyed by stocks with building exposure
"
202,AIB,2019-03-26,European stocks claw back up after four-day drop," AIB among star performers as Dublin edges up on renewed hopes of Brexit deal
"
203,AIB,2019-03-26,Millennials and money: Four dangers of leaving things late," ‘What we’re doing now in our 30s, our parents did in their 20s’ – here’s how to compensate
"
