Tech_ID,Name_Tech,Date_Tech,Headline_Tech,Description_Tech
53,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
54,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
55,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
56,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
57,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
58,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
59,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
60,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
61,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
62,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
63,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
64,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
65,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
66,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
67,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
68,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
69,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
70,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
71,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
72,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
73,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
74,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
75,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
76,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
77,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
78,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
79,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
80,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
81,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
82,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
83,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
84,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
85,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
86,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
87,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
88,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
89,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
90,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
91,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
92,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
93,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
94,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
95,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
96,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
97,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
98,level+of+innovation,2018-07-13,Irish SMEs face hardship amid rising business costs," Commercial rates, insurance and access to banking service identified as chief concerns in new Oireachtas report
            "
99,level+of+innovation,2018-07-04,"Surging corporation tax take, pay rises, and retailers seeking to counter online threat"," Business Today: the best news, analysis and comment from ‘The Irish Times’ business desk
            "
100,level+of+innovation,2018-04-20,"A women-only island, abandoned takeovers and special training at Starbucks"," Planet Business: Martin Sorrell’s golden goodbye and Bill Gates’s hopeful outlook
            "
101,level+of+innovation,2017-10-09,Government criticised for failing to seek EU state aid exemption," Fianna Fáil’s Niall Collins says Ireland needs exemption to assist firms affected by Brexit
            "
102,level+of+innovation,2017-09-29,Tax remains a thorny issue for Ireland at EU leaders’ summit," Digital summit in Estonia full of futuristic promises but also potential stumbling blocks
            "
103,level+of+innovation,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
104,level+of+innovation,2017-05-31,European firms in China seek a more level playing field," Survey highlights significant impediments to greater market access in China   
            "
105,level+of+innovation,2017-03-24,Planet Business: Chinese take  invasion of privacy to whole new level," Also: ‘Pre-loading’, a woman for USA Today, newbie billionaires and flat champagne   
            "
106,level+of+innovation,2017-03-09,Irish small firms still  unaware  of dangers posed by  Brexit," New joint committee report calls for increased funding for enterprise agencies   
            "
107,level+of+innovation,2017-03-03,Chris Johns: Is this a stock market bubble or  economic growth? ," Simple but brutal truth is that nobody has any idea what stock markets will do    
            "
108,level+of+innovation,2017-01-25,Wolfgang Munchau: EU must deal fairly with UK over Brexit," Both sides have much to gain from a fair deal and much to lose from a disorderly UK exit   
            "
109,level+of+innovation,2016-12-19,Finland plans to hand out no-strings cash to unemployed ," The Nordic country will give  cash to 2,000  in a universal basic income experiment   
            "
110,level+of+innovation,2016-11-04,Cracks start to show in Germany-China trade relations ," As Germany benefits from openness, it fears China’s supply chain will devour its technology    
            "
111,level+of+innovation,2016-07-04,Ibec paper stresses potential of digital economy," Report says value of Ireland’s digital economy has potential to reach €21.4bn by 2020   
            "
112,level+of+innovation,2016-06-20,Exports by firms linked to Enterprise Ireland pass €20bn mark in 2015," The export figure is now almost double what it was in 2005   
            "
113,level+of+innovation,2016-06-07,European firms facing ‘increasingly hostile’ environment in China," Survey by EU Chamber regrets long-heralded reforms not coming through   
            "
114,level+of+innovation,2016-03-02,Moody’s cuts outlook on China government credit to ‘negative’," Ratings agency cites pressure to reform and growing state debt burden   
            "
115,level+of+innovation,2016-02-25,Global growth fears cast shadow over G20 summit in Shanghai," Lack of transparency about market turmoil unsettles international investors   
            "
116,level+of+innovation,2016-01-06,Martin Wolf: Disaster has always been a  threat to world economy," There are three things to worry about: wars, inflation shocks  and financial crises   
            "
117,level+of+innovation,2015-12-01,Pricing a key tool to encourage  carbon-neutral energy," Tackling climate change requires incentivising new technology to produce ‘clean’ energy   
            "
118,level+of+innovation,2015-10-13,Brendan Howlin: Full Budget 2016 speech," ‘Today, we reap the benefits of the hard work and resilience of the Irish people’   
            "
119,level+of+innovation,2015-10-13,Michael Noonan: Full Budget 2016 speech," USC cuts and cigarette increase among measures announced by Minister for Finance   
            "
120,level+of+innovation,2015-09-18,Ireland opens Hong Kong consulate," Diplomatic mission will look to build on longstanding Irish connections with Hong Kong and Macau   
            "
121,level+of+innovation,2015-09-16,"China challenging but rewarding, says Bruton "," Some 40 Irish companies are involved in  trade mission to China along with Minister    
            "
122,level+of+innovation,2015-07-13,Tory chancellor George Osborne steals Labour’s clothes," Radical steps point to minister with vision who is not afraid to take business to task   
            "
123,level+of+innovation,2015-06-01,Chris Johns: Start your own business before the robots take over," Technologically disrupted workers need to reinvent themselves in self-employment.     
            "
124,level+of+innovation,2015-03-20,French conservatives say they have a lot to learn from Ireland’s experience," Minister believes Ireland is not beginning a new property boom   
            "
125,level+of+innovation,2015-03-18,John Plender: Are we in a government bond market bubble?," Euro zone sovereign bonds are moving towards losing touch with fundamentals   
            "
126,level+of+innovation,2015-01-13,Competitiveness Council calls for investment in infrastructure," To keep pace with competing jurisdictions Ireland must increase its capital spending Council says   
            "
127,level+of+innovation,2014-12-27,Josephine Feehily: unclear how tax changes will affect firms ," Interview: Outgoing Revenue Commissioners head is proud of her time leading the department 
            "
128,level+of+innovation,2014-12-16,President Higgins’s visit ensures access for Irish companies," Xi Jinping, Huawei and Alibaba among big names to the fore during   state visit   
            "
129,level+of+innovation,2014-10-14,Full text: Michael Noonan’s Budget 2015 speech  ," ‘The road we have travelled to get to this point has been very difficult and the Irish people have made major sacrifices’   
            "
130,level+of+innovation,2014-09-24,Clean growth is a safe bet in the climate casino," All but most obdurate sceptics must recognise  probability of irreversible climate change is much greater than zero   
            "
131,level+of+innovation,2014-09-03,Ireland moves up three places in competitiveness rankings," World Economic Forum’s latest survey paints mixed picture of Ireland’s economy   
            "
132,level+of+innovation,2014-06-24,Bruton on a mission to China as trade links grow," Visit comes shortly after a mission to Ireland by Liu Junshan, a senior Communist party official   
            "
133,level+of+innovation,2014-06-18,A climate fix would ruin investors," Opinion: humanity is making risky climate bets and ExxonMobil may be proved right    
            "
134,level+of+innovation,2014-06-14,Irish business may benefit from jitters over Swiss EU migration ," Enterprise Ireland trade mission to Alpine state attracts 70 Irish companies   
            "
135,level+of+innovation,2014-06-14,Piketty on Ireland," Thomas Piketty’s theory of rising inequality has made him one of 2014’s  best-selling authors. As the French economist prepares for a visit to Dublin, he talks about Ireland’s place in Europe, why we were right not to burn the bondholders, and our country’s ‘unfair’ property tax    
            "
136,level+of+innovation,2014-05-06,Government told to stick to planned €2bn Budget by OECD," Paris-based think tank delivers upbeat assessment of Ireland but warns on consolidation   
            "
137,level+of+innovation,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
138,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
139,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
140,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
141,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
142,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
143,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
144,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
145,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
146,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
147,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
148,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
149,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
150,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
151,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
152,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
153,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
154,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
155,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
156,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
157,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
158,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
159,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
160,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
161,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
162,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
163,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
164,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
165,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
166,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
167,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
168,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
169,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
170,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
171,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
172,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
173,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
174,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
175,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
176,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
177,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
178,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
179,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
180,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
181,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
182,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
183,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
184,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
185,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
186,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
187,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
188,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
189,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
190,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
191,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
192,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
193,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
194,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
195,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
196,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
197,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
